SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JKIL,EQ,87.0,87.0,80.0,82.7,82.0,82.35,180952,20-MAR-2020
JKIL,EQ,80.2,84.1,71.25,82.35,79.45,83.3,190752,19-MAR-2020
JKIL,EQ,89.8,91.0,80.8,83.3,83.0,86.55,123959,18-MAR-2020
JKIL,EQ,92.9,92.9,83.95,86.55,89.0,90.15,111204,17-MAR-2020
JKIL,EQ,93.9,95.95,88.35,90.15,91.0,96.35,154013,16-MAR-2020
JKIL,EQ,84.0,99.0,76.1,96.35,97.6,95.1,245838,13-MAR-2020
JKIL,EQ,112.0,113.0,90.8,95.1,98.85,113.45,353108,12-MAR-2020
JKIL,EQ,117.7,117.7,112.0,113.45,113.0,114.3,154898,11-MAR-2020
JKIL,EQ,114.2,117.95,113.6,114.3,114.5,118.2,146262,09-MAR-2020
JKIL,EQ,119.0,120.0,116.8,118.2,118.7,123.1,111629,06-MAR-2020
JKIL,EQ,125.9,125.9,121.1,123.1,123.0,121.5,94159,05-MAR-2020
JKIL,EQ,124.9,127.95,120.45,121.5,122.5,124.7,124637,04-MAR-2020
JKIL,EQ,126.5,128.8,120.0,124.7,125.65,126.6,161559,03-MAR-2020
JKIL,EQ,127.5,129.75,125.05,126.6,125.05,126.15,89057,02-MAR-2020
JKIL,EQ,131.0,131.0,125.0,126.15,126.3,132.3,164041,28-FEB-2020
JKIL,EQ,135.7,135.7,131.0,132.3,132.0,135.3,108142,27-FEB-2020
JKIL,EQ,134.0,137.2,132.4,135.3,134.15,133.95,99736,26-FEB-2020
JKIL,EQ,136.9,138.4,133.0,133.95,133.5,136.3,113181,25-FEB-2020
JKIL,EQ,137.75,139.9,135.0,136.3,137.5,138.35,55085,24-FEB-2020
JKIL,EQ,140.85,142.25,136.55,138.35,138.0,140.1,129073,20-FEB-2020
JKIL,EQ,140.15,145.0,128.4,140.1,139.5,141.1,803511,19-FEB-2020
JKIL,EQ,142.85,143.7,137.15,141.1,141.0,144.55,172170,18-FEB-2020
JKIL,EQ,148.0,148.0,142.1,144.55,142.5,147.1,90659,17-FEB-2020
JKIL,EQ,146.3,149.15,144.05,147.1,146.9,149.2,82133,14-FEB-2020
JKIL,EQ,151.55,151.55,147.0,149.2,148.0,150.65,93653,13-FEB-2020
JKIL,EQ,149.0,153.3,146.0,150.65,149.2,147.75,468011,12-FEB-2020
JKIL,EQ,145.0,153.95,145.0,147.75,146.25,146.25,612412,11-FEB-2020
JKIL,EQ,147.9,149.7,145.05,146.25,145.1,147.9,131900,10-FEB-2020
