SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JSL,EQ,26.5,28.8,26.25,28.0,27.95,26.05,808049,20-MAR-2020
JSL,EQ,25.0,27.0,24.5,26.05,26.0,26.8,642106,19-MAR-2020
JSL,EQ,30.0,30.75,25.5,26.8,27.0,29.85,761365,18-MAR-2020
JSL,EQ,30.9,31.5,29.5,29.85,29.8,30.3,296918,17-MAR-2020
JSL,EQ,31.25,32.0,29.55,30.3,30.0,31.65,437796,16-MAR-2020
JSL,EQ,27.7,32.6,27.0,31.65,32.0,29.85,1162714,13-MAR-2020
JSL,EQ,33.5,33.95,29.3,29.85,30.2,35.95,4073490,12-MAR-2020
JSL,EQ,38.5,39.0,35.25,35.95,35.7,38.35,810905,11-MAR-2020
JSL,EQ,39.55,40.4,38.1,38.35,38.15,41.15,615930,09-MAR-2020
JSL,EQ,39.0,41.6,38.0,41.15,41.2,40.0,961886,06-MAR-2020
JSL,EQ,40.4,40.8,39.5,40.0,40.15,39.8,1134299,05-MAR-2020
JSL,EQ,39.95,40.2,38.4,39.8,39.7,39.7,1171025,04-MAR-2020
JSL,EQ,40.1,41.0,39.5,39.7,39.65,39.7,810469,03-MAR-2020
JSL,EQ,40.5,42.9,39.1,39.7,39.3,39.0,1733523,02-MAR-2020
JSL,EQ,39.6,41.2,38.5,39.0,39.05,40.45,2215395,28-FEB-2020
JSL,EQ,40.4,42.1,39.9,40.45,40.4,40.15,2398491,27-FEB-2020
JSL,EQ,41.1,41.85,39.9,40.15,40.3,41.8,1269038,26-FEB-2020
JSL,EQ,40.7,42.2,40.7,41.8,42.0,40.6,854139,25-FEB-2020
JSL,EQ,41.0,41.9,40.25,40.6,40.75,41.6,793916,24-FEB-2020
JSL,EQ,41.35,42.4,41.0,41.6,41.7,41.15,1494611,20-FEB-2020
JSL,EQ,39.3,42.4,39.1,41.15,40.9,39.1,2192412,19-FEB-2020
JSL,EQ,39.85,40.05,38.8,39.1,38.8,40.25,833303,18-FEB-2020
JSL,EQ,41.15,41.95,39.7,40.25,40.0,41.05,3006267,17-FEB-2020
JSL,EQ,41.2,42.25,40.6,41.05,41.0,41.05,3328630,14-FEB-2020
JSL,EQ,41.6,42.0,40.8,41.05,41.05,41.6,506949,13-FEB-2020
JSL,EQ,42.85,43.3,40.4,41.6,41.85,41.35,1471218,12-FEB-2020
JSL,EQ,41.8,42.5,41.1,41.35,41.4,41.7,892517,11-FEB-2020
JSL,EQ,42.2,42.65,40.5,41.7,41.15,42.3,1420521,10-FEB-2020
