SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JSWENERGY,EQ,43.25,50.7,42.5,46.75,47.05,44.0,1334768,20-MAR-2020
JSWENERGY,EQ,40.45,46.4,37.85,44.0,45.9,42.0,3384662,19-MAR-2020
JSWENERGY,EQ,44.0,46.7,34.75,42.0,44.0,42.5,2102371,18-MAR-2020
JSWENERGY,EQ,45.7,45.7,41.4,42.5,43.85,45.65,2737541,17-MAR-2020
JSWENERGY,EQ,47.9,47.9,42.1,45.65,45.3,47.95,1653889,16-MAR-2020
JSWENERGY,EQ,46.0,49.75,42.5,47.95,47.65,46.15,1113576,13-MAR-2020
JSWENERGY,EQ,46.05,46.95,43.8,46.15,46.1,48.5,1295721,12-MAR-2020
JSWENERGY,EQ,47.1,49.9,45.85,48.5,48.8,47.3,1113884,11-MAR-2020
JSWENERGY,EQ,51.1,52.0,46.4,47.3,46.5,52.85,1213795,09-MAR-2020
JSWENERGY,EQ,52.55,53.25,51.8,52.85,52.55,54.85,540296,06-MAR-2020
JSWENERGY,EQ,54.15,55.2,53.15,54.85,54.8,53.85,625078,05-MAR-2020
JSWENERGY,EQ,57.35,57.6,53.5,53.85,54.2,57.35,867339,04-MAR-2020
JSWENERGY,EQ,54.5,58.05,54.5,57.35,58.0,54.95,763293,03-MAR-2020
JSWENERGY,EQ,58.8,59.5,53.65,54.95,53.7,57.3,664245,02-MAR-2020
JSWENERGY,EQ,58.1,59.2,55.9,57.3,56.0,60.05,1506071,28-FEB-2020
JSWENERGY,EQ,60.95,60.95,58.5,60.05,60.5,60.6,434378,27-FEB-2020
JSWENERGY,EQ,61.0,61.95,60.2,60.6,60.6,61.45,1175307,26-FEB-2020
JSWENERGY,EQ,63.1,63.5,61.0,61.45,61.5,62.9,586239,25-FEB-2020
JSWENERGY,EQ,63.0,63.4,62.2,62.9,63.3,63.15,393742,24-FEB-2020
JSWENERGY,EQ,64.6,65.45,62.8,63.15,63.0,64.6,754557,20-FEB-2020
JSWENERGY,EQ,66.5,67.35,64.2,64.6,64.6,65.7,712089,19-FEB-2020
JSWENERGY,EQ,65.25,68.4,64.8,65.7,65.75,63.15,5556529,18-FEB-2020
JSWENERGY,EQ,62.8,63.9,62.55,63.15,63.05,62.85,249796,17-FEB-2020
JSWENERGY,EQ,63.6,64.5,62.55,62.85,62.75,63.6,207531,14-FEB-2020
JSWENERGY,EQ,64.0,64.1,62.8,63.6,64.1,64.1,256836,13-FEB-2020
JSWENERGY,EQ,63.9,64.5,62.8,64.1,64.0,63.95,869723,12-FEB-2020
JSWENERGY,EQ,65.45,65.8,63.7,63.95,63.85,65.0,591840,11-FEB-2020
JSWENERGY,EQ,65.4,65.8,64.15,65.0,65.15,65.35,1315357,10-FEB-2020
