SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JUMPNET,EQ,51.7,51.7,45.7,48.45,48.5,49.2,1081094,20-MAR-2020
JUMPNET,EQ,50.05,52.45,46.8,49.2,49.0,50.1,952813,19-MAR-2020
JUMPNET,EQ,52.95,52.95,48.55,50.1,49.95,50.05,884759,18-MAR-2020
JUMPNET,EQ,55.0,55.0,47.75,50.05,50.05,51.2,774069,17-MAR-2020
JUMPNET,EQ,54.0,55.4,49.5,51.2,51.5,51.4,1187155,16-MAR-2020
JUMPNET,EQ,52.0,60.0,42.3,51.4,51.95,52.85,1178042,13-MAR-2020
JUMPNET,EQ,54.2,54.75,51.05,52.85,51.9,54.2,1172732,12-MAR-2020
JUMPNET,EQ,54.55,55.6,53.7,54.2,54.45,53.75,554135,11-MAR-2020
JUMPNET,EQ,55.0,55.0,53.05,53.75,54.0,55.4,457877,09-MAR-2020
JUMPNET,EQ,55.05,56.1,54.1,55.4,55.0,56.3,620420,06-MAR-2020
JUMPNET,EQ,57.0,62.0,55.5,56.3,56.45,55.7,608887,05-MAR-2020
JUMPNET,EQ,55.95,56.3,55.0,55.7,56.0,55.8,882093,04-MAR-2020
JUMPNET,EQ,56.9,56.95,55.05,55.8,56.0,55.85,574670,03-MAR-2020
JUMPNET,EQ,58.0,58.0,54.65,55.85,56.8,56.45,607663,02-MAR-2020
JUMPNET,EQ,57.85,57.85,53.55,56.45,56.0,57.0,702312,28-FEB-2020
JUMPNET,EQ,56.05,57.95,54.85,57.0,57.0,55.5,993560,27-FEB-2020
JUMPNET,EQ,56.35,57.6,54.8,55.5,55.6,55.7,805700,26-FEB-2020
JUMPNET,EQ,55.35,55.9,54.0,55.7,55.9,55.0,793918,25-FEB-2020
JUMPNET,EQ,54.35,55.45,53.7,55.0,55.45,54.1,631516,24-FEB-2020
JUMPNET,EQ,55.5,55.5,53.0,54.1,55.4,53.45,594317,20-FEB-2020
JUMPNET,EQ,52.1,53.85,52.1,53.45,53.5,53.0,358196,19-FEB-2020
JUMPNET,EQ,51.85,53.9,51.85,53.0,52.5,52.1,655234,18-FEB-2020
JUMPNET,EQ,52.0,52.5,51.5,52.1,51.5,52.25,860455,17-FEB-2020
JUMPNET,EQ,51.5,52.5,51.5,52.25,52.05,51.6,860545,14-FEB-2020
JUMPNET,EQ,52.0,52.9,50.0,51.6,50.15,52.4,581444,13-FEB-2020
JUMPNET,EQ,52.95,56.9,52.05,52.4,52.05,52.05,252220,12-FEB-2020
JUMPNET,EQ,53.5,53.5,51.5,52.05,52.3,53.0,1125410,11-FEB-2020
JUMPNET,EQ,51.65,53.65,51.65,53.0,53.45,52.7,616435,10-FEB-2020
