SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JUSTDIAL,EQ,323.05,335.85,305.95,332.55,331.0,316.55,4759596,20-MAR-2020
JUSTDIAL,EQ,330.95,358.95,305.2,316.55,313.9,367.7,7261406,19-MAR-2020
JUSTDIAL,EQ,315.95,385.65,312.4,367.7,375.5,311.45,5549378,18-MAR-2020
JUSTDIAL,EQ,334.5,337.0,290.8,311.45,314.8,339.9,5590420,17-MAR-2020
JUSTDIAL,EQ,360.0,367.0,337.0,339.9,339.5,380.15,2996830,16-MAR-2020
JUSTDIAL,EQ,337.15,388.8,282.1,380.15,381.0,374.6,2791004,13-MAR-2020
JUSTDIAL,EQ,430.0,430.0,357.85,374.6,378.0,443.55,3641621,12-MAR-2020
JUSTDIAL,EQ,450.0,460.75,439.15,443.55,441.0,448.65,2070352,11-MAR-2020
JUSTDIAL,EQ,439.0,455.5,436.7,448.65,446.8,470.45,2236798,09-MAR-2020
JUSTDIAL,EQ,464.0,479.0,432.5,470.45,470.5,475.3,3753303,06-MAR-2020
JUSTDIAL,EQ,486.3,493.75,473.0,475.3,474.4,487.75,1592677,05-MAR-2020
JUSTDIAL,EQ,498.05,498.05,471.95,487.75,486.3,498.5,1901019,04-MAR-2020
JUSTDIAL,EQ,477.0,504.4,473.0,498.5,498.05,477.0,2222465,03-MAR-2020
JUSTDIAL,EQ,473.0,494.3,470.0,477.0,477.0,466.1,2255435,02-MAR-2020
JUSTDIAL,EQ,472.0,478.9,460.0,466.1,466.35,483.0,1307966,28-FEB-2020
JUSTDIAL,EQ,487.95,491.95,467.5,483.0,483.05,487.35,2361871,27-FEB-2020
JUSTDIAL,EQ,491.4,492.75,483.15,487.35,487.0,492.0,1386940,26-FEB-2020
JUSTDIAL,EQ,485.9,497.95,483.25,492.0,494.0,485.75,1483911,25-FEB-2020
JUSTDIAL,EQ,496.0,498.5,483.8,485.75,485.05,498.7,1396363,24-FEB-2020
JUSTDIAL,EQ,504.7,511.5,496.45,498.7,497.55,501.6,2168645,20-FEB-2020
JUSTDIAL,EQ,492.9,504.75,490.0,501.6,500.9,488.45,1659743,19-FEB-2020
JUSTDIAL,EQ,493.0,497.55,480.25,488.45,486.85,493.0,2539160,18-FEB-2020
JUSTDIAL,EQ,508.0,509.0,487.1,493.0,495.25,507.6,2571383,17-FEB-2020
JUSTDIAL,EQ,516.0,520.7,505.4,507.6,507.45,515.65,1981818,14-FEB-2020
JUSTDIAL,EQ,505.7,517.8,488.15,515.65,516.6,505.7,4830575,13-FEB-2020
JUSTDIAL,EQ,508.1,511.55,501.55,505.7,505.0,505.2,1848092,12-FEB-2020
JUSTDIAL,EQ,508.95,514.35,500.25,505.2,507.5,499.85,3178450,11-FEB-2020
JUSTDIAL,EQ,532.0,534.9,491.2,499.85,500.6,534.1,4504943,10-FEB-2020
