SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
JVLAGRO,BZ,0.25,0.3,0.25,0.25,0.25,0.25,60257,20-MAR-2020
JVLAGRO,BZ,0.25,0.3,0.2,0.25,0.25,0.25,33232,19-MAR-2020
JVLAGRO,BZ,0.25,0.3,0.25,0.25,0.25,0.25,109042,18-MAR-2020
JVLAGRO,BZ,0.3,0.3,0.25,0.25,0.25,0.25,302329,17-MAR-2020
JVLAGRO,BZ,0.3,0.3,0.25,0.25,0.25,0.3,225611,16-MAR-2020
JVLAGRO,BZ,0.25,0.3,0.25,0.3,0.3,0.25,92218,13-MAR-2020
JVLAGRO,BZ,0.25,0.3,0.25,0.25,0.25,0.25,164390,12-MAR-2020
JVLAGRO,BZ,0.3,0.3,0.25,0.25,0.25,0.25,135275,11-MAR-2020
JVLAGRO,BZ,0.25,0.3,0.25,0.25,0.25,0.25,254699,09-MAR-2020
JVLAGRO,BZ,0.25,0.3,0.25,0.25,0.25,0.25,192692,06-MAR-2020
JVLAGRO,BZ,0.3,0.35,0.25,0.25,0.25,0.3,144385,05-MAR-2020
JVLAGRO,BZ,0.3,0.35,0.3,0.3,0.35,0.3,8951,04-MAR-2020
JVLAGRO,BZ,0.35,0.35,0.3,0.3,0.3,0.35,101616,03-MAR-2020
JVLAGRO,BZ,0.35,0.4,0.35,0.35,0.35,0.4,72054,02-MAR-2020
JVLAGRO,BZ,0.4,0.4,0.3,0.4,0.35,0.35,24920,28-FEB-2020
JVLAGRO,BZ,0.35,0.4,0.3,0.35,0.4,0.35,18019,27-FEB-2020
JVLAGRO,BZ,0.4,0.4,0.3,0.35,0.35,0.35,33871,26-FEB-2020
JVLAGRO,BZ,0.35,0.4,0.3,0.35,0.35,0.35,28416,25-FEB-2020
JVLAGRO,BZ,0.4,0.4,0.35,0.35,0.35,0.35,16034,24-FEB-2020
JVLAGRO,BZ,0.4,0.4,0.35,0.35,0.4,0.35,40885,20-FEB-2020
JVLAGRO,BZ,0.35,0.4,0.35,0.35,0.4,0.35,97461,19-FEB-2020
JVLAGRO,BZ,0.35,0.4,0.35,0.35,0.35,0.35,71589,18-FEB-2020
JVLAGRO,BZ,0.4,0.4,0.35,0.35,0.4,0.35,109345,17-FEB-2020
JVLAGRO,BZ,0.45,0.45,0.35,0.35,0.35,0.4,151794,14-FEB-2020
JVLAGRO,BZ,0.45,0.5,0.4,0.4,0.5,0.45,188848,13-FEB-2020
JVLAGRO,BZ,0.45,0.5,0.4,0.45,0.45,0.45,32488,12-FEB-2020
JVLAGRO,BZ,0.45,0.5,0.4,0.45,0.45,0.45,51215,11-FEB-2020
JVLAGRO,BZ,0.5,0.5,0.45,0.45,0.45,0.45,82406,10-FEB-2020
