SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KANORICHEM,EQ,24.3,26.7,24.3,26.45,26.7,24.3,18853,20-MAR-2020
KANORICHEM,EQ,26.3,26.3,24.1,24.3,24.25,25.9,27815,19-MAR-2020
KANORICHEM,EQ,26.25,27.3,25.6,25.9,26.0,26.15,13089,18-MAR-2020
KANORICHEM,EQ,25.55,27.75,25.5,26.15,26.2,25.5,20585,17-MAR-2020
KANORICHEM,EQ,29.4,29.4,25.25,25.5,25.25,29.2,34022,16-MAR-2020
KANORICHEM,EQ,28.0,30.5,24.5,29.2,29.4,30.15,33371,13-MAR-2020
KANORICHEM,EQ,33.0,33.0,29.3,30.15,29.4,34.1,49814,12-MAR-2020
KANORICHEM,EQ,34.4,35.5,33.65,34.1,33.95,34.45,22295,11-MAR-2020
KANORICHEM,EQ,36.0,36.0,33.6,34.45,34.05,36.75,31742,09-MAR-2020
KANORICHEM,EQ,37.0,37.35,35.4,36.75,37.0,38.45,27518,06-MAR-2020
KANORICHEM,EQ,37.05,41.25,36.1,38.45,38.45,37.0,37179,05-MAR-2020
KANORICHEM,EQ,38.0,38.35,36.9,37.0,37.3,37.15,17902,04-MAR-2020
KANORICHEM,EQ,37.1,38.5,36.3,37.15,37.6,37.65,41536,03-MAR-2020
KANORICHEM,EQ,38.6,41.45,36.8,37.65,36.8,38.4,37506,02-MAR-2020
KANORICHEM,EQ,42.75,42.75,38.0,38.4,38.45,42.65,47348,28-FEB-2020
KANORICHEM,EQ,46.0,46.8,41.8,42.65,42.75,44.9,125841,27-FEB-2020
KANORICHEM,EQ,44.4,47.25,42.5,44.9,44.4,44.6,72917,26-FEB-2020
KANORICHEM,EQ,46.0,47.5,44.5,44.6,44.5,45.7,54869,25-FEB-2020
KANORICHEM,EQ,41.3,48.85,41.3,45.7,45.85,43.1,188841,24-FEB-2020
KANORICHEM,EQ,41.0,44.2,40.5,43.1,43.2,41.35,67641,20-FEB-2020
KANORICHEM,EQ,39.2,41.85,38.65,41.35,41.35,37.9,71643,19-FEB-2020
KANORICHEM,EQ,36.8,38.7,36.1,37.9,37.1,37.1,25822,18-FEB-2020
KANORICHEM,EQ,38.35,38.45,36.85,37.1,36.9,37.95,15940,17-FEB-2020
KANORICHEM,EQ,38.15,39.1,37.55,37.95,38.6,38.4,16447,14-FEB-2020
KANORICHEM,EQ,40.7,40.7,37.25,38.4,38.25,40.7,23465,13-FEB-2020
KANORICHEM,EQ,40.7,41.9,40.6,40.7,40.7,41.2,17096,12-FEB-2020
KANORICHEM,EQ,42.95,43.0,41.0,41.2,41.0,41.55,34373,11-FEB-2020
KANORICHEM,EQ,40.15,42.7,39.45,41.55,41.95,40.0,22939,10-FEB-2020
