SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KARURVYSYA,EQ,30.7,30.7,26.9,27.05,27.1,28.2,1722191,20-MAR-2020
KARURVYSYA,EQ,27.4,29.0,26.5,28.2,27.95,27.7,1189039,19-MAR-2020
KARURVYSYA,EQ,30.0,30.25,27.5,27.7,28.1,29.2,925602,18-MAR-2020
KARURVYSYA,EQ,29.65,30.45,29.0,29.2,29.0,29.8,610778,17-MAR-2020
KARURVYSYA,EQ,31.0,31.6,28.55,29.8,29.8,31.9,1388609,16-MAR-2020
KARURVYSYA,EQ,30.0,32.95,28.0,31.9,32.2,33.35,1428039,13-MAR-2020
KARURVYSYA,EQ,35.05,35.4,31.5,33.35,33.35,36.05,1506514,12-MAR-2020
KARURVYSYA,EQ,35.05,37.6,35.05,36.05,37.0,35.7,1275692,11-MAR-2020
KARURVYSYA,EQ,36.25,37.45,35.05,35.7,36.95,38.55,1532027,09-MAR-2020
KARURVYSYA,EQ,37.0,41.55,35.15,38.55,38.2,38.05,1565788,06-MAR-2020
KARURVYSYA,EQ,38.3,38.7,37.45,38.05,38.0,38.3,643215,05-MAR-2020
KARURVYSYA,EQ,39.2,40.0,37.05,38.3,38.3,39.1,865152,04-MAR-2020
KARURVYSYA,EQ,40.0,40.5,38.9,39.1,39.05,39.9,639279,03-MAR-2020
KARURVYSYA,EQ,43.0,43.0,39.1,39.9,39.1,41.8,635322,02-MAR-2020
KARURVYSYA,EQ,41.1,42.1,40.4,41.8,41.8,43.8,861973,28-FEB-2020
KARURVYSYA,EQ,44.25,44.25,42.7,43.8,43.95,44.25,910718,27-FEB-2020
KARURVYSYA,EQ,45.0,45.0,43.8,44.25,43.95,45.1,1763509,26-FEB-2020
KARURVYSYA,EQ,46.15,46.35,45.0,45.1,45.0,45.8,404937,25-FEB-2020
KARURVYSYA,EQ,47.65,47.65,45.6,45.8,46.15,47.85,460330,24-FEB-2020
KARURVYSYA,EQ,48.2,49.4,47.35,47.85,48.2,48.8,545347,20-FEB-2020
KARURVYSYA,EQ,47.95,49.25,47.3,48.8,49.0,47.5,367918,19-FEB-2020
KARURVYSYA,EQ,48.6,48.6,46.6,47.5,47.45,48.8,331917,18-FEB-2020
KARURVYSYA,EQ,50.35,50.35,48.25,48.8,48.45,49.7,297074,17-FEB-2020
KARURVYSYA,EQ,49.4,50.35,48.75,49.7,49.75,49.5,360237,14-FEB-2020
KARURVYSYA,EQ,48.9,49.9,47.25,49.5,49.4,48.95,768950,13-FEB-2020
KARURVYSYA,EQ,49.1,49.7,48.05,48.95,49.05,49.2,398952,12-FEB-2020
KARURVYSYA,EQ,47.75,49.8,47.45,49.2,49.2,48.2,548191,11-FEB-2020
KARURVYSYA,EQ,49.1,49.2,47.5,48.2,48.25,49.25,318762,10-FEB-2020
