SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KDDL,EQ,139.6,147.15,125.65,132.6,133.0,139.6,4735,20-MAR-2020
KDDL,EQ,158.8,158.8,138.55,139.6,138.55,153.85,6684,19-MAR-2020
KDDL,EQ,163.0,163.95,136.55,153.85,153.85,164.95,15089,18-MAR-2020
KDDL,EQ,189.0,196.35,156.7,164.95,160.0,190.9,4583,17-MAR-2020
KDDL,EQ,220.0,220.15,187.1,190.9,190.0,232.6,5502,16-MAR-2020
KDDL,EQ,191.4,254.7,191.4,232.6,234.95,227.45,2092,13-MAR-2020
KDDL,EQ,225.0,229.5,204.0,227.45,228.0,226.0,5728,12-MAR-2020
KDDL,EQ,202.0,239.4,202.0,226.0,222.0,208.75,3396,11-MAR-2020
KDDL,EQ,262.0,262.0,199.2,208.75,209.9,246.75,10428,09-MAR-2020
KDDL,EQ,225.1,247.75,216.5,246.75,247.0,234.95,3061,06-MAR-2020
KDDL,EQ,230.55,241.0,230.25,234.95,231.15,233.0,375,05-MAR-2020
KDDL,EQ,240.0,248.45,230.0,233.0,233.0,239.05,845,04-MAR-2020
KDDL,EQ,254.85,258.0,230.05,239.05,238.15,253.15,3700,03-MAR-2020
KDDL,EQ,267.65,284.0,251.05,253.15,251.05,265.25,4652,02-MAR-2020
KDDL,EQ,285.0,285.0,260.05,265.25,265.0,277.35,1129,28-FEB-2020
KDDL,EQ,290.5,290.5,251.55,277.35,280.0,271.85,3338,27-FEB-2020
KDDL,EQ,287.95,287.95,267.05,271.85,267.1,280.95,2542,26-FEB-2020
KDDL,EQ,276.85,281.0,272.55,280.95,281.0,276.05,596,25-FEB-2020
KDDL,EQ,275.0,283.3,270.05,276.05,278.0,282.15,2962,24-FEB-2020
KDDL,EQ,299.4,299.4,272.35,282.15,272.35,290.95,4681,20-FEB-2020
KDDL,EQ,301.95,301.95,283.0,290.95,294.0,288.85,2123,19-FEB-2020
KDDL,EQ,299.4,299.4,282.0,288.85,287.0,289.1,2083,18-FEB-2020
KDDL,EQ,307.35,307.35,281.0,289.1,285.25,297.85,390,17-FEB-2020
KDDL,EQ,306.4,306.4,291.4,297.85,300.0,296.2,370,14-FEB-2020
KDDL,EQ,280.2,299.0,280.05,296.2,299.0,280.2,3557,13-FEB-2020
KDDL,EQ,293.45,293.45,280.0,280.2,280.15,293.45,722,12-FEB-2020
KDDL,EQ,297.9,301.95,284.5,293.45,284.5,297.15,847,11-FEB-2020
KDDL,EQ,309.25,309.25,292.0,297.15,297.9,298.85,289,10-FEB-2020
