SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KEI,EQ,270.0,280.0,250.2,257.1,254.5,269.65,397517,20-MAR-2020
KEI,EQ,280.0,282.25,267.05,269.65,267.05,298.2,525057,19-MAR-2020
KEI,EQ,345.0,345.0,284.2,298.2,298.15,338.7,502467,18-MAR-2020
KEI,EQ,357.0,366.0,331.2,338.7,335.3,359.85,264204,17-MAR-2020
KEI,EQ,354.0,368.25,348.0,359.85,355.1,380.35,173493,16-MAR-2020
KEI,EQ,349.4,420.15,314.05,380.35,379.0,392.55,488661,13-MAR-2020
KEI,EQ,433.2,433.2,382.0,392.55,399.9,458.65,520637,12-MAR-2020
KEI,EQ,454.0,474.0,445.0,458.65,460.15,454.4,183419,11-MAR-2020
KEI,EQ,470.0,474.75,445.0,454.4,450.0,479.05,207670,09-MAR-2020
KEI,EQ,475.0,499.1,475.0,479.05,482.0,505.85,139991,06-MAR-2020
KEI,EQ,503.05,513.5,495.6,505.85,503.0,507.15,309120,05-MAR-2020
KEI,EQ,513.5,522.0,491.6,507.15,504.95,512.9,253593,04-MAR-2020
KEI,EQ,466.9,523.0,466.9,512.9,520.5,464.05,456048,03-MAR-2020
KEI,EQ,496.0,498.95,455.0,464.05,473.15,490.5,285324,02-MAR-2020
KEI,EQ,487.85,509.75,486.0,490.5,491.0,509.9,216845,28-FEB-2020
KEI,EQ,507.5,515.0,490.5,509.9,515.0,507.35,136797,27-FEB-2020
KEI,EQ,502.0,514.5,501.6,507.35,507.1,506.75,282066,26-FEB-2020
KEI,EQ,507.5,529.0,498.65,506.75,508.0,506.15,270601,25-FEB-2020
KEI,EQ,524.5,524.5,504.0,506.15,506.05,522.1,516956,24-FEB-2020
KEI,EQ,538.0,538.0,519.0,522.1,522.0,536.5,129949,20-FEB-2020
KEI,EQ,534.0,537.55,528.05,536.5,532.6,529.95,116581,19-FEB-2020
KEI,EQ,531.9,534.45,527.25,529.95,530.0,528.8,98666,18-FEB-2020
KEI,EQ,540.0,540.0,526.85,528.8,529.0,534.5,61679,17-FEB-2020
KEI,EQ,537.75,540.0,531.3,534.5,534.0,535.05,291911,14-FEB-2020
KEI,EQ,541.0,542.55,530.0,535.05,536.0,529.55,119157,13-FEB-2020
KEI,EQ,533.3,538.0,527.5,529.55,532.0,532.6,224570,12-FEB-2020
KEI,EQ,533.0,541.5,528.85,532.6,534.95,532.7,74405,11-FEB-2020
KEI,EQ,526.2,544.5,525.0,532.7,533.0,531.45,129281,10-FEB-2020
