SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KELLTONTEC,EQ,9.0,9.3,8.1,8.8,8.9,8.55,187605,20-MAR-2020
KELLTONTEC,EQ,9.9,9.9,8.2,8.55,8.65,10.2,482819,19-MAR-2020
KELLTONTEC,EQ,10.15,11.45,10.0,10.2,10.05,11.1,332472,18-MAR-2020
KELLTONTEC,EQ,12.4,12.5,10.7,11.1,11.2,11.85,126710,17-MAR-2020
KELLTONTEC,EQ,12.8,13.3,11.75,11.85,12.0,12.95,127894,16-MAR-2020
KELLTONTEC,EQ,11.25,13.8,10.5,12.95,12.6,13.05,523126,13-MAR-2020
KELLTONTEC,EQ,14.35,14.65,12.5,13.05,13.35,14.6,314251,12-MAR-2020
KELLTONTEC,EQ,12.7,15.05,12.7,14.6,14.65,12.6,685239,11-MAR-2020
KELLTONTEC,EQ,14.6,15.15,12.35,12.6,12.7,15.15,465788,09-MAR-2020
KELLTONTEC,EQ,16.45,16.5,14.9,15.15,15.15,17.2,162752,06-MAR-2020
KELLTONTEC,EQ,16.0,17.5,15.5,17.2,16.9,15.6,943619,05-MAR-2020
KELLTONTEC,EQ,12.95,15.7,12.85,15.6,15.7,13.1,1122788,04-MAR-2020
KELLTONTEC,EQ,13.0,14.75,12.95,13.1,13.05,12.95,361151,03-MAR-2020
KELLTONTEC,EQ,13.9,14.5,12.8,12.95,13.0,13.8,143405,02-MAR-2020
KELLTONTEC,EQ,14.6,14.75,13.75,13.8,13.9,14.75,135450,28-FEB-2020
KELLTONTEC,EQ,15.0,15.3,14.6,14.75,14.75,15.3,42833,27-FEB-2020
KELLTONTEC,EQ,14.8,15.5,14.65,15.3,15.4,15.05,98790,26-FEB-2020
KELLTONTEC,EQ,15.3,15.3,14.5,15.05,15.2,14.8,100420,25-FEB-2020
KELLTONTEC,EQ,15.6,16.25,14.5,14.8,14.95,15.9,320668,24-FEB-2020
KELLTONTEC,EQ,16.65,16.65,15.5,15.9,16.0,16.65,174464,20-FEB-2020
KELLTONTEC,EQ,16.35,16.8,16.0,16.65,16.6,16.2,94044,19-FEB-2020
KELLTONTEC,EQ,16.35,17.0,16.0,16.2,16.1,16.8,137720,18-FEB-2020
KELLTONTEC,EQ,17.0,17.15,16.25,16.8,17.0,16.55,189501,17-FEB-2020
KELLTONTEC,EQ,16.3,16.8,16.1,16.55,16.6,16.0,242838,14-FEB-2020
KELLTONTEC,EQ,16.85,17.3,15.85,16.0,16.0,16.85,217731,13-FEB-2020
KELLTONTEC,EQ,16.65,17.4,16.55,16.85,17.15,16.6,164979,12-FEB-2020
KELLTONTEC,EQ,16.8,17.4,16.25,16.6,16.5,16.7,49844,11-FEB-2020
KELLTONTEC,EQ,16.25,16.9,16.25,16.7,16.8,16.4,69061,10-FEB-2020
