SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KGL,BZ,0.2,0.2,0.15,0.15,0.2,0.2,576160,20-MAR-2020
KGL,BZ,0.2,0.25,0.15,0.2,0.2,0.2,1386428,19-MAR-2020
KGL,BZ,0.2,0.25,0.2,0.2,0.25,0.2,405832,18-MAR-2020
KGL,BZ,0.2,0.25,0.2,0.2,0.2,0.2,90024,17-MAR-2020
KGL,BZ,0.2,0.25,0.2,0.2,0.2,0.25,556440,16-MAR-2020
KGL,BZ,0.2,0.25,0.2,0.25,0.25,0.2,506467,13-MAR-2020
KGL,BZ,0.2,0.25,0.2,0.2,0.2,0.25,724748,12-MAR-2020
KGL,BZ,0.2,0.25,0.2,0.25,0.25,0.2,72911,11-MAR-2020
KGL,BZ,0.25,0.25,0.2,0.2,0.25,0.25,320575,09-MAR-2020
KGL,BZ,0.25,0.3,0.25,0.25,0.25,0.3,305093,06-MAR-2020
KGL,BZ,0.25,0.3,0.2,0.3,0.3,0.25,330868,05-MAR-2020
KGL,BZ,0.25,0.25,0.2,0.25,0.25,0.25,188389,04-MAR-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.25,0.25,340008,03-MAR-2020
KGL,BZ,0.2,0.25,0.2,0.25,0.25,0.2,307313,02-MAR-2020
KGL,BZ,0.25,0.3,0.2,0.2,0.2,0.25,632796,28-FEB-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.3,0.25,333074,27-FEB-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.3,0.25,291256,26-FEB-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.25,0.25,430873,25-FEB-2020
KGL,BZ,0.25,0.25,0.2,0.25,0.25,0.25,108271,24-FEB-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.3,0.25,136538,20-FEB-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.25,0.25,312042,19-FEB-2020
KGL,BZ,0.2,0.3,0.2,0.25,0.3,0.25,209158,18-FEB-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.3,0.25,200646,17-FEB-2020
KGL,BZ,0.25,0.3,0.25,0.25,0.3,0.3,320790,14-FEB-2020
KGL,BZ,0.3,0.3,0.25,0.3,0.3,0.25,54419,13-FEB-2020
KGL,BZ,0.25,0.3,0.2,0.25,0.3,0.25,584417,12-FEB-2020
KGL,BZ,0.3,0.3,0.25,0.25,0.3,0.3,101931,11-FEB-2020
KGL,BZ,0.25,0.3,0.25,0.3,0.3,0.25,123373,10-FEB-2020
