SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KIRLOSENG,EQ,95.85,96.45,89.85,92.7,92.1,92.1,14255,20-MAR-2020
KIRLOSENG,EQ,95.7,95.7,87.0,92.1,92.5,95.7,25009,19-MAR-2020
KIRLOSENG,EQ,99.0,101.9,93.0,95.7,98.0,99.25,22580,18-MAR-2020
KIRLOSENG,EQ,102.1,105.8,98.1,99.25,99.0,101.65,24098,17-MAR-2020
KIRLOSENG,EQ,110.1,110.1,96.25,101.65,101.8,109.55,25683,16-MAR-2020
KIRLOSENG,EQ,95.25,122.6,88.15,109.55,110.0,106.65,40411,13-MAR-2020
KIRLOSENG,EQ,111.0,111.95,102.7,106.65,108.2,115.15,76221,12-MAR-2020
KIRLOSENG,EQ,116.45,117.0,111.45,115.15,116.5,116.45,24747,11-MAR-2020
KIRLOSENG,EQ,117.1,122.8,112.1,116.45,116.45,123.1,32643,09-MAR-2020
KIRLOSENG,EQ,123.0,125.0,115.05,123.1,123.45,125.4,33141,06-MAR-2020
KIRLOSENG,EQ,123.4,126.0,123.0,125.4,126.0,122.95,11398,05-MAR-2020
KIRLOSENG,EQ,128.35,128.35,122.0,122.95,122.5,126.15,15408,04-MAR-2020
KIRLOSENG,EQ,124.0,129.0,124.0,126.15,127.5,124.75,17717,03-MAR-2020
KIRLOSENG,EQ,127.05,131.45,121.0,124.75,121.55,126.45,17758,02-MAR-2020
KIRLOSENG,EQ,130.0,130.75,125.25,126.45,126.25,133.4,21824,28-FEB-2020
KIRLOSENG,EQ,133.65,133.95,129.5,133.4,133.5,132.85,35114,27-FEB-2020
KIRLOSENG,EQ,134.9,135.0,131.85,132.85,135.0,134.9,8932,26-FEB-2020
KIRLOSENG,EQ,133.0,137.0,131.8,134.9,136.0,133.75,16712,25-FEB-2020
KIRLOSENG,EQ,138.0,138.5,132.05,133.75,132.8,139.15,27860,24-FEB-2020
KIRLOSENG,EQ,139.0,142.7,138.5,139.15,139.75,139.1,26905,20-FEB-2020
KIRLOSENG,EQ,137.9,143.5,136.45,139.1,138.0,137.3,198989,19-FEB-2020
KIRLOSENG,EQ,137.0,138.95,135.55,137.3,138.0,136.6,23769,18-FEB-2020
KIRLOSENG,EQ,136.75,141.0,135.0,136.6,137.6,136.75,28306,17-FEB-2020
KIRLOSENG,EQ,138.65,140.05,135.2,136.75,135.9,138.4,49467,14-FEB-2020
KIRLOSENG,EQ,139.0,140.45,137.5,138.4,138.0,139.0,13961,13-FEB-2020
KIRLOSENG,EQ,140.0,142.1,138.0,139.0,138.55,140.7,22363,12-FEB-2020
KIRLOSENG,EQ,143.35,144.0,138.75,140.7,140.1,141.65,31676,11-FEB-2020
KIRLOSENG,EQ,145.0,145.0,140.1,141.65,141.5,141.9,31407,10-FEB-2020
