SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KOTAKGOLD,EQ,351.05,360.5,350.35,358.0,360.0,351.8,25005,20-MAR-2020
KOTAKGOLD,EQ,374.6,392.6,347.0,351.8,350.1,360.15,35888,19-MAR-2020
KOTAKGOLD,EQ,362.15,364.45,355.0,360.15,360.5,353.8,23111,18-MAR-2020
KOTAKGOLD,EQ,358.9,366.8,350.0,353.8,356.0,363.3,54665,17-MAR-2020
KOTAKGOLD,EQ,365.95,368.85,361.05,363.3,363.0,370.3,37559,16-MAR-2020
KOTAKGOLD,EQ,369.95,392.0,359.95,370.3,370.35,382.05,130879,13-MAR-2020
KOTAKGOLD,EQ,384.95,388.75,379.0,382.05,384.45,384.6,119003,12-MAR-2020
KOTAKGOLD,EQ,382.2,388.35,382.2,384.6,385.0,386.55,34874,11-MAR-2020
KOTAKGOLD,EQ,391.5,396.9,383.25,386.55,385.3,390.95,143833,09-MAR-2020
KOTAKGOLD,EQ,388.1,392.0,384.0,390.95,391.0,381.0,53285,06-MAR-2020
KOTAKGOLD,EQ,382.95,382.95,380.0,381.0,380.15,381.15,17186,05-MAR-2020
KOTAKGOLD,EQ,379.7,384.45,379.7,381.15,380.35,372.3,96022,04-MAR-2020
KOTAKGOLD,EQ,372.9,373.8,370.3,372.3,372.0,372.35,26835,03-MAR-2020
KOTAKGOLD,EQ,370.9,375.05,367.55,372.35,374.0,377.25,42880,02-MAR-2020
KOTAKGOLD,EQ,376.95,383.7,375.0,377.25,377.7,375.6,69973,28-FEB-2020
KOTAKGOLD,EQ,375.45,377.75,373.55,375.6,375.6,375.35,18987,27-FEB-2020
KOTAKGOLD,EQ,374.9,380.45,373.05,375.35,375.95,376.6,94580,26-FEB-2020
KOTAKGOLD,EQ,377.55,380.0,371.25,376.6,376.0,384.8,112114,25-FEB-2020
KOTAKGOLD,EQ,375.5,385.9,375.2,384.8,384.5,366.4,56195,24-FEB-2020
KOTAKGOLD,EQ,368.9,368.9,365.5,366.4,366.8,366.25,9441,20-FEB-2020
KOTAKGOLD,EQ,364.05,366.8,363.4,366.25,366.0,361.9,18712,19-FEB-2020
KOTAKGOLD,EQ,360.95,362.65,360.2,361.9,361.4,359.75,14639,18-FEB-2020
KOTAKGOLD,EQ,357.05,361.85,357.05,359.75,360.3,359.0,9618,17-FEB-2020
KOTAKGOLD,EQ,357.7,359.75,357.1,359.0,359.0,358.45,19200,14-FEB-2020
KOTAKGOLD,EQ,359.95,359.95,357.85,358.45,358.1,356.7,7244,13-FEB-2020
KOTAKGOLD,EQ,360.95,372.7,356.2,356.7,356.2,358.4,6419,12-FEB-2020
KOTAKGOLD,EQ,356.55,359.45,356.2,358.4,357.5,359.0,13341,11-FEB-2020
KOTAKGOLD,EQ,396.0,421.0,357.15,359.0,359.0,356.75,24754,10-FEB-2020
