SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
KOTARISUG,EQ,8.0,8.9,7.85,8.55,8.4,8.3,25458,20-MAR-2020
KOTARISUG,EQ,8.0,8.45,7.7,8.3,8.2,8.15,9465,19-MAR-2020
KOTARISUG,EQ,9.0,9.4,8.1,8.15,8.25,8.85,34055,18-MAR-2020
KOTARISUG,EQ,9.1,9.15,8.1,8.85,8.7,8.6,38501,17-MAR-2020
KOTARISUG,EQ,9.1,9.1,8.55,8.6,8.6,9.2,22512,16-MAR-2020
KOTARISUG,EQ,9.0,9.25,7.7,9.2,9.2,9.15,30573,13-MAR-2020
KOTARISUG,EQ,9.45,9.45,8.05,9.15,9.25,9.1,33381,12-MAR-2020
KOTARISUG,EQ,10.0,10.45,8.9,9.1,9.1,10.05,98072,11-MAR-2020
KOTARISUG,EQ,10.1,10.25,9.6,10.05,9.9,10.45,24946,09-MAR-2020
KOTARISUG,EQ,10.1,10.6,10.0,10.45,10.35,10.75,31876,06-MAR-2020
KOTARISUG,EQ,10.25,11.7,10.1,10.75,10.65,10.1,105533,05-MAR-2020
KOTARISUG,EQ,10.75,11.9,9.1,10.1,10.05,10.1,272874,04-MAR-2020
KOTARISUG,EQ,11.05,11.6,9.75,10.1,10.5,11.25,188094,03-MAR-2020
KOTARISUG,EQ,11.65,12.2,10.8,11.25,10.85,11.65,46087,02-MAR-2020
KOTARISUG,EQ,11.95,12.05,11.2,11.65,11.65,12.1,28547,28-FEB-2020
KOTARISUG,EQ,12.1,12.45,11.35,12.1,12.15,12.1,20422,27-FEB-2020
KOTARISUG,EQ,12.15,12.5,12.0,12.1,12.2,12.35,20829,26-FEB-2020
KOTARISUG,EQ,12.15,12.8,12.0,12.35,12.2,12.15,17802,25-FEB-2020
KOTARISUG,EQ,12.8,12.8,12.0,12.15,12.1,12.5,20653,24-FEB-2020
KOTARISUG,EQ,12.65,12.7,12.2,12.5,12.65,12.2,18420,20-FEB-2020
KOTARISUG,EQ,12.3,12.65,11.3,12.2,12.3,12.4,72149,19-FEB-2020
KOTARISUG,EQ,12.9,12.95,12.3,12.4,12.4,12.75,40382,18-FEB-2020
KOTARISUG,EQ,13.0,13.5,12.6,12.75,12.8,12.75,52013,17-FEB-2020
KOTARISUG,EQ,13.2,13.5,12.5,12.75,12.95,13.75,113646,14-FEB-2020
KOTARISUG,EQ,14.25,14.8,13.4,13.75,13.9,14.45,46697,13-FEB-2020
KOTARISUG,EQ,14.8,15.35,14.25,14.45,14.35,14.9,57907,12-FEB-2020
KOTARISUG,EQ,15.35,15.75,14.85,14.9,14.85,15.05,122127,11-FEB-2020
KOTARISUG,EQ,14.45,15.4,13.6,15.05,15.0,13.85,292443,10-FEB-2020
