SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LAKPRE,BZ,1.35,1.35,1.35,1.35,1.35,1.4,1239,20-MAR-2020
LAKPRE,BZ,1.4,1.4,1.4,1.4,1.4,1.4,55001,19-MAR-2020
LAKPRE,BZ,1.5,1.5,1.4,1.4,1.4,1.45,120000,18-MAR-2020
LAKPRE,BZ,1.35,1.45,1.35,1.45,1.45,1.4,66,16-MAR-2020
LAKPRE,BZ,1.45,1.45,1.4,1.4,1.4,1.45,100,13-MAR-2020
LAKPRE,BZ,1.5,1.5,1.45,1.45,1.45,1.5,100,12-MAR-2020
LAKPRE,BZ,1.55,1.55,1.5,1.5,1.5,1.55,140,09-MAR-2020
LAKPRE,BZ,1.55,1.55,1.55,1.55,1.55,1.6,1233,06-MAR-2020
LAKPRE,BZ,1.6,1.6,1.6,1.6,1.6,1.65,5500,03-MAR-2020
LAKPRE,BZ,1.65,1.65,1.65,1.65,1.65,1.7,50,02-MAR-2020
LAKPRE,BZ,1.7,1.7,1.7,1.7,1.7,1.75,1011,26-FEB-2020
LAKPRE,BZ,1.75,1.75,1.75,1.75,1.75,1.8,121,25-FEB-2020
LAKPRE,BZ,1.8,1.8,1.8,1.8,1.8,1.85,60,24-FEB-2020
LAKPRE,BZ,1.85,1.85,1.85,1.85,1.85,1.85,1898,20-FEB-2020
LAKPRE,BZ,1.85,1.85,1.85,1.85,1.85,1.9,50,18-FEB-2020
LAKPRE,BZ,1.9,1.9,1.9,1.9,1.9,2.0,214,17-FEB-2020
LAKPRE,BZ,2.0,2.0,2.0,2.0,2.0,2.0,10,14-FEB-2020
