SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LAKSHVILAS,EQ,13.55,14.4,13.3,13.35,13.35,13.95,2058584,20-MAR-2020
LAKSHVILAS,EQ,14.5,14.5,13.95,13.95,13.95,14.65,927214,19-MAR-2020
LAKSHVILAS,EQ,14.95,15.45,14.6,14.65,14.6,14.75,1274340,18-MAR-2020
LAKSHVILAS,EQ,15.9,15.9,14.55,14.75,14.7,15.25,1468070,17-MAR-2020
LAKSHVILAS,EQ,15.85,16.0,15.25,15.25,15.25,16.05,2828326,16-MAR-2020
LAKSHVILAS,EQ,15.5,16.05,14.55,16.05,16.05,15.3,7413595,13-MAR-2020
LAKSHVILAS,EQ,15.3,15.3,15.05,15.3,15.3,14.6,4989407,12-MAR-2020
LAKSHVILAS,EQ,14.6,14.6,14.6,14.6,14.6,13.95,523797,11-MAR-2020
LAKSHVILAS,EQ,13.6,15.0,13.6,13.95,15.0,14.3,811281,09-MAR-2020
LAKSHVILAS,EQ,14.3,14.3,14.3,14.3,14.3,15.05,224369,06-MAR-2020
LAKSHVILAS,EQ,14.35,15.05,14.15,15.05,15.05,14.35,501108,05-MAR-2020
LAKSHVILAS,EQ,15.0,15.0,14.25,14.35,14.25,14.95,808641,04-MAR-2020
LAKSHVILAS,EQ,15.8,15.8,14.9,14.95,14.9,15.65,977428,03-MAR-2020
LAKSHVILAS,EQ,16.35,16.4,15.25,15.65,15.7,15.65,1002087,02-MAR-2020
LAKSHVILAS,EQ,16.45,16.45,15.1,15.65,15.75,15.7,2255697,28-FEB-2020
LAKSHVILAS,EQ,15.6,16.2,15.1,15.7,15.75,15.8,628978,27-FEB-2020
LAKSHVILAS,EQ,16.7,16.7,15.5,15.8,15.85,16.3,769660,26-FEB-2020
LAKSHVILAS,EQ,15.8,16.95,15.8,16.3,16.7,16.15,660435,25-FEB-2020
LAKSHVILAS,EQ,17.0,17.35,16.15,16.15,16.15,17.0,1416280,24-FEB-2020
LAKSHVILAS,EQ,15.4,17.0,15.4,17.0,17.0,16.2,2523590,20-FEB-2020
LAKSHVILAS,EQ,16.35,16.75,16.2,16.2,16.2,17.05,747814,19-FEB-2020
LAKSHVILAS,EQ,17.05,17.35,17.05,17.05,17.05,17.9,873604,18-FEB-2020
LAKSHVILAS,EQ,18.0,18.4,17.9,17.9,17.9,18.8,572259,17-FEB-2020
LAKSHVILAS,EQ,18.8,18.8,18.8,18.8,18.8,19.75,292952,14-FEB-2020
LAKSHVILAS,EQ,21.75,21.75,19.75,19.75,19.75,20.75,3832824,13-FEB-2020
LAKSHVILAS,EQ,20.75,20.75,20.75,20.75,20.75,19.8,519628,12-FEB-2020
LAKSHVILAS,EQ,19.8,19.8,19.7,19.8,19.8,18.0,868720,11-FEB-2020
LAKSHVILAS,EQ,18.0,18.0,16.8,18.0,18.0,16.4,3171473,10-FEB-2020
