SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LAMBODHARA,EQ,20.95,20.95,18.7,20.15,19.8,19.65,6798,20-MAR-2020
LAMBODHARA,EQ,18.7,20.0,17.45,19.65,18.6,19.25,7558,19-MAR-2020
LAMBODHARA,EQ,22.05,22.05,18.55,19.25,19.95,22.05,8800,18-MAR-2020
LAMBODHARA,EQ,22.3,23.65,21.25,22.05,22.55,22.3,10842,17-MAR-2020
LAMBODHARA,EQ,21.8,23.35,21.75,22.3,22.25,23.05,7003,16-MAR-2020
LAMBODHARA,EQ,23.05,24.8,19.0,23.05,23.75,23.15,25763,13-MAR-2020
LAMBODHARA,EQ,25.3,25.4,22.9,23.15,23.05,26.65,9026,12-MAR-2020
LAMBODHARA,EQ,26.4,27.0,25.05,26.65,26.4,24.65,4945,11-MAR-2020
LAMBODHARA,EQ,27.45,27.45,24.5,24.65,24.6,26.95,6185,09-MAR-2020
LAMBODHARA,EQ,28.0,28.4,26.4,26.95,26.8,28.5,5984,06-MAR-2020
LAMBODHARA,EQ,27.3,29.35,26.65,28.5,28.95,28.2,3191,05-MAR-2020
LAMBODHARA,EQ,28.3,29.85,27.5,28.2,28.45,28.8,7981,04-MAR-2020
LAMBODHARA,EQ,29.5,30.8,27.45,28.8,29.0,30.25,13319,03-MAR-2020
LAMBODHARA,EQ,30.35,31.4,29.3,30.25,30.0,29.75,6821,02-MAR-2020
LAMBODHARA,EQ,32.9,32.9,29.2,29.75,29.8,30.6,12074,28-FEB-2020
LAMBODHARA,EQ,30.3,31.5,30.3,30.6,30.75,31.15,4237,27-FEB-2020
LAMBODHARA,EQ,31.85,32.8,30.5,31.15,31.45,32.15,9500,26-FEB-2020
LAMBODHARA,EQ,32.7,33.35,32.0,32.15,32.4,32.5,1185,25-FEB-2020
LAMBODHARA,EQ,33.5,33.5,32.0,32.5,32.5,32.9,1947,24-FEB-2020
LAMBODHARA,EQ,33.65,33.7,31.65,32.9,32.9,32.5,3305,20-FEB-2020
LAMBODHARA,EQ,33.0,33.5,32.1,32.5,32.15,32.85,4108,19-FEB-2020
LAMBODHARA,EQ,33.5,33.5,31.55,32.85,33.4,32.85,5587,18-FEB-2020
LAMBODHARA,EQ,34.4,34.4,32.0,32.85,32.6,33.65,6861,17-FEB-2020
LAMBODHARA,EQ,34.9,35.9,33.2,33.65,33.7,34.15,11205,14-FEB-2020
LAMBODHARA,EQ,34.3,34.5,32.3,34.15,33.8,34.0,21004,13-FEB-2020
LAMBODHARA,EQ,34.55,34.55,33.75,34.0,34.0,34.1,4207,12-FEB-2020
LAMBODHARA,EQ,34.15,35.0,33.6,34.1,33.6,34.45,5272,11-FEB-2020
LAMBODHARA,EQ,35.0,35.1,33.6,34.45,34.1,35.5,12201,10-FEB-2020
