SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LGBFORGE,EQ,1.7,1.8,1.7,1.8,1.8,1.75,59171,20-MAR-2020
LGBFORGE,EQ,1.8,1.8,1.75,1.75,1.75,1.8,5265,19-MAR-2020
LGBFORGE,EQ,1.85,1.85,1.8,1.8,1.8,1.85,19867,18-MAR-2020
LGBFORGE,EQ,1.85,1.95,1.85,1.85,1.85,1.9,12037,17-MAR-2020
LGBFORGE,EQ,1.9,2.1,1.9,1.9,1.9,2.0,16413,16-MAR-2020
LGBFORGE,EQ,1.95,2.15,1.95,2.0,2.1,2.05,30772,13-MAR-2020
LGBFORGE,EQ,2.1,2.15,2.05,2.05,2.05,2.15,5124,12-MAR-2020
LGBFORGE,EQ,2.15,2.25,2.05,2.15,2.2,2.15,6793,11-MAR-2020
LGBFORGE,EQ,2.0,2.2,2.0,2.15,2.1,2.1,6689,09-MAR-2020
LGBFORGE,EQ,2.3,2.3,2.1,2.1,2.1,2.2,57671,06-MAR-2020
LGBFORGE,EQ,2.3,2.3,2.2,2.2,2.25,2.3,29129,05-MAR-2020
LGBFORGE,EQ,2.15,2.35,2.15,2.3,2.3,2.25,42050,04-MAR-2020
LGBFORGE,BE,2.25,2.25,2.25,2.25,2.25,2.35,38103,03-MAR-2020
LGBFORGE,BE,2.35,2.35,2.35,2.35,2.35,2.45,12592,02-MAR-2020
LGBFORGE,BE,2.65,2.65,2.45,2.45,2.45,2.55,6007,28-FEB-2020
LGBFORGE,BE,2.45,2.55,2.4,2.55,2.55,2.45,1622,27-FEB-2020
LGBFORGE,BE,2.45,2.45,2.45,2.45,2.45,2.55,33570,26-FEB-2020
LGBFORGE,BE,2.65,2.65,2.55,2.55,2.55,2.65,4261,25-FEB-2020
LGBFORGE,BE,2.6,2.65,2.45,2.65,2.65,2.55,2318,24-FEB-2020
LGBFORGE,BE,2.45,2.65,2.45,2.55,2.6,2.55,24703,20-FEB-2020
LGBFORGE,BE,2.55,2.6,2.55,2.55,2.55,2.65,3163,19-FEB-2020
LGBFORGE,BE,2.45,2.65,2.45,2.65,2.65,2.55,7306,18-FEB-2020
LGBFORGE,BE,2.7,2.7,2.55,2.55,2.55,2.65,27758,17-FEB-2020
LGBFORGE,BE,2.65,2.8,2.65,2.65,2.65,2.75,22688,14-FEB-2020
LGBFORGE,BE,2.75,2.95,2.75,2.75,2.75,2.85,11858,13-FEB-2020
LGBFORGE,BE,2.85,2.9,2.85,2.85,2.85,2.95,11223,12-FEB-2020
LGBFORGE,BE,3.1,3.1,2.95,2.95,2.95,3.1,18040,11-FEB-2020
LGBFORGE,BE,3.1,3.2,2.95,3.1,3.1,3.1,15645,10-FEB-2020
