SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LINDEINDIA,EQ,460.05,485.0,428.2,472.15,473.0,459.85,28462,20-MAR-2020
LINDEINDIA,EQ,442.8,479.55,423.5,459.85,458.0,455.55,40543,19-MAR-2020
LINDEINDIA,EQ,488.0,534.5,443.0,455.55,450.0,479.1,56854,18-MAR-2020
LINDEINDIA,EQ,479.9,503.9,475.0,479.1,480.6,477.8,38157,17-MAR-2020
LINDEINDIA,EQ,510.0,515.25,464.95,477.8,472.0,536.25,61854,16-MAR-2020
LINDEINDIA,EQ,492.15,544.0,440.0,536.25,532.0,513.7,67934,13-MAR-2020
LINDEINDIA,EQ,540.0,540.25,501.0,513.7,519.5,561.85,73888,12-MAR-2020
LINDEINDIA,EQ,564.9,584.15,556.1,561.85,558.05,565.75,32180,11-MAR-2020
LINDEINDIA,EQ,595.0,595.0,561.55,565.75,568.0,600.55,46392,09-MAR-2020
LINDEINDIA,EQ,605.25,623.25,591.7,600.55,603.0,639.4,48844,06-MAR-2020
LINDEINDIA,EQ,645.15,655.0,637.0,639.4,637.0,649.35,25705,05-MAR-2020
LINDEINDIA,EQ,630.05,665.0,608.0,649.35,646.65,630.95,61410,04-MAR-2020
LINDEINDIA,EQ,639.85,652.8,608.0,630.95,636.0,618.85,63541,03-MAR-2020
LINDEINDIA,EQ,665.0,679.0,581.0,618.85,627.5,651.7,59584,02-MAR-2020
LINDEINDIA,EQ,675.0,681.5,645.0,651.7,648.0,698.05,50962,28-FEB-2020
LINDEINDIA,EQ,722.0,728.9,693.8,698.05,698.0,722.15,43072,27-FEB-2020
LINDEINDIA,EQ,711.0,743.0,702.25,722.15,722.0,714.45,120820,26-FEB-2020
LINDEINDIA,EQ,755.0,755.0,708.0,714.45,710.0,770.75,127892,25-FEB-2020
LINDEINDIA,EQ,780.0,801.0,768.0,770.75,778.0,779.8,117034,24-FEB-2020
LINDEINDIA,EQ,781.4,795.0,776.0,779.8,780.0,778.15,39763,20-FEB-2020
LINDEINDIA,EQ,766.7,795.0,764.9,778.15,779.95,760.15,65599,19-FEB-2020
LINDEINDIA,EQ,758.95,780.0,752.4,760.15,764.0,759.95,50004,18-FEB-2020
LINDEINDIA,EQ,750.0,785.9,735.1,759.95,760.05,735.75,106644,17-FEB-2020
LINDEINDIA,EQ,740.85,754.0,732.1,735.75,741.0,739.45,28762,14-FEB-2020
LINDEINDIA,EQ,752.4,752.4,733.5,739.45,736.0,746.4,23349,13-FEB-2020
LINDEINDIA,EQ,741.0,777.0,735.0,746.4,750.0,734.45,129099,12-FEB-2020
LINDEINDIA,EQ,755.55,755.55,732.1,734.45,735.0,741.2,15686,11-FEB-2020
LINDEINDIA,EQ,731.1,759.8,722.45,741.2,740.95,725.25,29596,10-FEB-2020
