SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LUMAXIND,EQ,792.05,847.75,774.95,830.6,823.05,770.7,3835,20-MAR-2020
LUMAXIND,EQ,755.0,820.1,751.0,770.7,775.0,855.9,10640,19-MAR-2020
LUMAXIND,EQ,858.0,906.05,835.05,855.9,869.0,888.65,4498,18-MAR-2020
LUMAXIND,EQ,924.95,938.2,872.2,888.65,885.0,894.75,5190,17-MAR-2020
LUMAXIND,EQ,916.0,949.85,870.0,894.75,897.95,975.6,7469,16-MAR-2020
LUMAXIND,EQ,900.0,1060.0,800.0,975.6,920.0,998.4,10655,13-MAR-2020
LUMAXIND,EQ,1136.95,1155.0,975.0,998.4,991.0,1146.2,9630,12-MAR-2020
LUMAXIND,EQ,1167.95,1168.0,1104.35,1146.2,1139.0,1130.6,4162,11-MAR-2020
LUMAXIND,EQ,1190.0,1207.0,1121.0,1130.6,1123.0,1210.4,6028,09-MAR-2020
LUMAXIND,EQ,1250.0,1287.95,1194.3,1210.4,1227.0,1274.75,6829,06-MAR-2020
LUMAXIND,EQ,1270.0,1300.0,1265.0,1274.75,1279.0,1284.35,2573,05-MAR-2020
LUMAXIND,EQ,1342.2,1383.75,1275.0,1284.35,1276.0,1303.15,5442,04-MAR-2020
LUMAXIND,EQ,1292.0,1320.0,1245.6,1303.15,1305.0,1279.25,2450,03-MAR-2020
LUMAXIND,EQ,1251.0,1300.0,1230.3,1279.25,1292.0,1227.85,6842,02-MAR-2020
LUMAXIND,EQ,1370.0,1370.0,1211.0,1227.85,1229.0,1387.35,12498,28-FEB-2020
LUMAXIND,EQ,1458.0,1460.05,1376.7,1387.35,1390.0,1465.35,4586,27-FEB-2020
LUMAXIND,EQ,1465.0,1490.0,1447.55,1465.35,1471.25,1479.75,3275,26-FEB-2020
LUMAXIND,EQ,1498.95,1517.05,1470.0,1479.75,1488.0,1474.75,4820,25-FEB-2020
LUMAXIND,EQ,1458.75,1498.95,1443.3,1474.75,1493.6,1487.65,2800,24-FEB-2020
LUMAXIND,EQ,1492.95,1512.0,1481.0,1487.65,1496.95,1475.15,3123,20-FEB-2020
LUMAXIND,EQ,1515.0,1515.0,1462.8,1475.15,1480.0,1478.2,931,19-FEB-2020
LUMAXIND,EQ,1476.0,1524.65,1455.2,1478.2,1471.0,1492.65,1885,18-FEB-2020
LUMAXIND,EQ,1510.0,1522.9,1476.0,1492.65,1476.0,1495.8,1750,17-FEB-2020
LUMAXIND,EQ,1499.0,1500.1,1480.1,1495.8,1500.0,1499.25,1557,14-FEB-2020
LUMAXIND,EQ,1524.0,1525.0,1490.0,1499.25,1491.0,1523.9,2966,13-FEB-2020
LUMAXIND,EQ,1463.0,1534.2,1445.0,1523.9,1525.0,1463.6,4841,12-FEB-2020
LUMAXIND,EQ,1522.0,1522.0,1425.5,1463.6,1425.5,1474.6,1901,11-FEB-2020
LUMAXIND,EQ,1483.0,1499.8,1468.05,1474.6,1475.0,1483.65,1567,10-FEB-2020
