SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LUPIN,EQ,640.7,665.1,631.25,641.95,644.7,635.0,2708797,20-MAR-2020
LUPIN,EQ,594.5,654.0,578.05,635.0,637.5,612.9,2680525,19-MAR-2020
LUPIN,EQ,626.0,637.35,605.7,612.9,622.0,616.1,2352298,18-MAR-2020
LUPIN,EQ,605.25,646.25,596.35,616.1,619.15,599.0,2067474,17-MAR-2020
LUPIN,EQ,595.85,632.85,576.0,599.0,600.0,605.85,2477918,16-MAR-2020
LUPIN,EQ,550.0,615.95,504.75,605.85,612.95,593.8,1820679,13-MAR-2020
LUPIN,EQ,629.0,629.0,583.65,593.8,597.0,638.8,4991404,12-MAR-2020
LUPIN,EQ,652.1,659.6,635.45,638.8,640.2,651.15,1987343,11-MAR-2020
LUPIN,EQ,645.0,664.55,643.5,651.15,651.0,663.5,1461377,09-MAR-2020
LUPIN,EQ,665.0,673.8,657.2,663.5,663.3,676.55,3466958,06-MAR-2020
LUPIN,EQ,668.0,686.65,666.0,676.55,677.95,664.4,2089837,05-MAR-2020
LUPIN,EQ,653.2,667.25,643.3,664.4,663.6,649.6,2723269,04-MAR-2020
LUPIN,EQ,637.0,660.55,635.3,649.6,650.0,629.8,2135990,03-MAR-2020
LUPIN,EQ,645.0,652.3,620.5,629.8,628.25,640.0,2408228,02-MAR-2020
LUPIN,EQ,656.15,659.4,635.2,640.0,640.45,662.8,2408425,28-FEB-2020
LUPIN,EQ,669.1,671.3,654.6,662.8,664.0,669.8,1302115,27-FEB-2020
LUPIN,EQ,668.1,676.0,664.55,669.8,667.85,669.15,2122196,26-FEB-2020
LUPIN,EQ,680.0,680.0,667.4,669.15,671.0,672.85,2838451,25-FEB-2020
LUPIN,EQ,695.0,697.0,669.0,672.85,672.75,699.6,1771815,24-FEB-2020
LUPIN,EQ,706.15,708.1,698.0,699.6,698.8,709.05,1883153,20-FEB-2020
LUPIN,EQ,705.0,716.5,704.4,709.05,708.9,706.05,894396,19-FEB-2020
LUPIN,EQ,710.8,710.95,694.0,706.05,703.1,712.55,1225756,18-FEB-2020
LUPIN,EQ,718.5,731.25,710.6,712.55,711.2,717.65,1402215,17-FEB-2020
LUPIN,EQ,704.5,721.45,704.5,717.65,719.5,703.4,1845960,14-FEB-2020
LUPIN,EQ,706.4,708.6,699.55,703.4,703.0,703.2,2356429,13-FEB-2020
LUPIN,EQ,708.0,712.0,698.5,703.2,703.5,705.05,2266491,12-FEB-2020
LUPIN,EQ,713.8,713.8,698.55,705.05,704.25,701.95,1862531,11-FEB-2020
LUPIN,EQ,705.95,710.0,696.3,701.95,701.0,707.6,1841499,10-FEB-2020
