SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
LUXIND,EQ,1070.0,1070.0,981.0,1017.7,995.0,1051.85,53368,20-MAR-2020
LUXIND,EQ,1000.1,1115.0,925.25,1051.85,1058.0,1064.4,54256,19-MAR-2020
LUXIND,EQ,1171.25,1171.25,1022.0,1064.4,1069.0,1158.85,42035,18-MAR-2020
LUXIND,EQ,1131.15,1198.0,1123.95,1158.85,1160.0,1149.5,56531,17-MAR-2020
LUXIND,EQ,1171.05,1244.75,1135.25,1149.5,1154.0,1230.05,37099,16-MAR-2020
LUXIND,EQ,1135.25,1280.0,1100.0,1230.05,1250.0,1241.6,93314,13-MAR-2020
LUXIND,EQ,1300.0,1300.0,1201.3,1241.6,1234.0,1328.35,150029,12-MAR-2020
LUXIND,EQ,1355.8,1398.95,1316.55,1328.35,1327.0,1389.45,41408,11-MAR-2020
LUXIND,EQ,1360.25,1425.0,1310.0,1389.45,1352.15,1397.25,60746,09-MAR-2020
LUXIND,EQ,1287.0,1449.0,1287.0,1397.25,1383.0,1351.5,66654,06-MAR-2020
LUXIND,EQ,1309.0,1367.9,1309.0,1351.5,1342.2,1319.25,41621,05-MAR-2020
LUXIND,EQ,1375.0,1375.0,1310.0,1319.25,1315.0,1354.0,82949,04-MAR-2020
LUXIND,EQ,1394.0,1394.35,1344.8,1354.0,1368.65,1380.1,68371,03-MAR-2020
LUXIND,EQ,1410.25,1458.7,1365.1,1380.1,1370.0,1404.45,49235,02-MAR-2020
LUXIND,EQ,1464.0,1467.8,1362.3,1404.45,1400.85,1496.65,53537,28-FEB-2020
LUXIND,EQ,1534.65,1534.65,1451.55,1496.65,1500.0,1533.7,56674,27-FEB-2020
LUXIND,EQ,1515.95,1549.7,1511.3,1533.7,1534.6,1528.55,44149,26-FEB-2020
LUXIND,EQ,1536.05,1559.7,1510.35,1528.55,1540.0,1534.5,46774,25-FEB-2020
LUXIND,EQ,1560.0,1563.9,1517.0,1534.5,1538.2,1555.65,44029,24-FEB-2020
LUXIND,EQ,1562.0,1594.4,1542.2,1555.65,1565.0,1565.85,45635,20-FEB-2020
LUXIND,EQ,1578.85,1586.1,1561.3,1565.85,1572.95,1577.85,42233,19-FEB-2020
LUXIND,EQ,1617.6,1617.6,1570.0,1577.85,1571.0,1615.45,67785,18-FEB-2020
LUXIND,EQ,1634.0,1635.7,1565.0,1615.45,1609.8,1635.7,49784,17-FEB-2020
LUXIND,EQ,1612.0,1648.9,1551.0,1635.7,1629.0,1575.35,130762,14-FEB-2020
LUXIND,EQ,1614.8,1614.8,1561.0,1575.35,1576.0,1594.55,40352,13-FEB-2020
LUXIND,EQ,1499.0,1617.0,1490.0,1594.55,1598.0,1490.75,130999,12-FEB-2020
LUXIND,EQ,1489.95,1504.3,1477.0,1490.75,1498.0,1484.8,40835,11-FEB-2020
LUXIND,EQ,1508.0,1509.0,1476.05,1484.8,1480.3,1503.15,66306,10-FEB-2020
