SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
M15RG,MF,4.66,4.67,4.5,4.56,4.56,5.0,12000,18-MAR-2020
M15RG,MF,5.0,5.0,5.0,5.0,5.0,5.2,2000,17-MAR-2020
M15RG,MF,5.15,5.2,5.15,5.2,5.2,5.64,2500,16-MAR-2020
M15RG,MF,5.65,5.65,5.64,5.64,5.64,6.26,4500,13-MAR-2020
M15RG,MF,6.26,6.26,6.26,6.26,6.26,6.95,99,11-MAR-2020
M15RG,MF,6.5,6.99,6.47,6.95,6.99,7.05,41416,27-FEB-2020
M15RG,MF,7.05,7.05,7.05,7.05,7.05,7.1,700,26-FEB-2020
M15RG,MF,7.1,7.1,7.1,7.1,7.1,6.93,500,25-FEB-2020
M15RG,MF,6.93,6.93,6.93,6.93,6.93,6.3,3000,24-FEB-2020
M15RG,MF,6.1,6.65,6.1,6.3,6.3,6.36,6816,19-FEB-2020
M15RG,MF,6.36,6.36,6.36,6.36,6.36,7.0,5000,18-FEB-2020
M15RG,MF,7.0,7.0,7.0,7.0,7.0,7.05,10000,13-FEB-2020
M15RG,MF,7.05,7.05,7.05,7.05,7.05,7.23,2500,12-FEB-2020
M15RG,MF,7.21,7.25,7.21,7.23,7.25,6.75,27032,11-FEB-2020
