SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MAHEPC,EQ,90.05,93.4,87.8,91.9,92.95,88.2,28530,20-MAR-2020
MAHEPC,EQ,85.0,92.0,81.1,88.2,88.0,88.95,28191,19-MAR-2020
MAHEPC,EQ,93.75,98.0,85.95,88.95,91.0,93.75,61983,18-MAR-2020
MAHEPC,EQ,94.05,102.4,92.5,93.75,92.5,92.8,21337,17-MAR-2020
MAHEPC,EQ,90.0,96.5,90.0,92.8,92.5,95.95,63118,16-MAR-2020
MAHEPC,EQ,90.5,100.0,75.15,95.95,96.7,91.35,72667,13-MAR-2020
MAHEPC,EQ,92.0,93.8,88.05,91.35,92.35,98.8,86985,12-MAR-2020
MAHEPC,EQ,92.35,99.6,90.25,98.8,99.0,90.95,54591,11-MAR-2020
MAHEPC,EQ,103.1,105.8,88.8,90.95,90.9,106.7,147573,09-MAR-2020
MAHEPC,EQ,108.0,110.0,103.15,106.7,106.0,112.75,52824,06-MAR-2020
MAHEPC,EQ,108.0,117.25,108.0,112.75,114.0,110.35,46636,05-MAR-2020
MAHEPC,EQ,117.05,117.05,107.1,110.35,109.4,116.6,45253,04-MAR-2020
MAHEPC,EQ,125.0,125.0,111.55,116.6,118.0,120.55,64667,03-MAR-2020
MAHEPC,EQ,131.95,131.95,118.45,120.55,122.0,124.55,42189,02-MAR-2020
MAHEPC,EQ,128.0,130.0,123.5,124.55,124.0,133.3,41920,28-FEB-2020
MAHEPC,EQ,136.95,136.95,128.0,133.3,133.7,134.35,30754,27-FEB-2020
MAHEPC,EQ,135.15,137.8,133.25,134.35,134.7,137.1,13003,26-FEB-2020
MAHEPC,EQ,140.25,143.35,136.55,137.1,137.0,137.45,28918,25-FEB-2020
MAHEPC,EQ,141.7,141.75,136.55,137.45,137.1,142.7,22992,24-FEB-2020
MAHEPC,EQ,142.0,149.8,142.0,142.7,142.25,142.55,27458,20-FEB-2020
MAHEPC,EQ,139.7,147.0,138.15,142.55,143.0,137.1,26735,19-FEB-2020
MAHEPC,EQ,139.15,139.85,134.4,137.1,136.75,139.55,22063,18-FEB-2020
MAHEPC,EQ,149.45,152.0,136.5,139.55,139.15,146.95,39556,17-FEB-2020
MAHEPC,EQ,154.8,159.9,145.1,146.95,147.5,152.4,43230,14-FEB-2020
