SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MAHLIFE,EQ,231.0,260.0,220.95,241.15,255.0,231.1,68200,20-MAR-2020
MAHLIFE,EQ,250.0,250.0,221.05,231.1,221.1,252.2,32906,19-MAR-2020
MAHLIFE,EQ,269.0,275.0,235.1,252.2,261.05,269.45,27411,18-MAR-2020
MAHLIFE,EQ,280.0,283.6,262.55,269.45,272.5,282.25,36429,17-MAR-2020
MAHLIFE,EQ,300.0,305.15,250.25,282.25,288.2,308.75,86503,16-MAR-2020
MAHLIFE,EQ,283.05,312.4,251.05,308.75,302.0,308.05,66023,13-MAR-2020
MAHLIFE,EQ,309.0,319.9,284.05,308.05,310.0,321.65,46997,12-MAR-2020
MAHLIFE,EQ,324.5,331.5,307.0,321.65,321.0,325.05,24531,11-MAR-2020
MAHLIFE,EQ,326.0,333.0,315.0,325.05,325.0,329.5,41213,09-MAR-2020
MAHLIFE,EQ,325.0,334.95,322.1,329.5,326.5,335.35,40015,06-MAR-2020
MAHLIFE,EQ,339.2,346.95,329.7,335.35,334.6,340.3,24837,05-MAR-2020
MAHLIFE,EQ,350.0,353.0,336.6,340.3,338.3,352.5,63835,04-MAR-2020
MAHLIFE,EQ,352.0,365.95,346.35,352.5,347.0,351.5,11040,03-MAR-2020
MAHLIFE,EQ,363.95,367.15,345.3,351.5,346.0,356.4,15421,02-MAR-2020
MAHLIFE,EQ,360.05,364.45,355.0,356.4,358.0,366.95,19499,28-FEB-2020
MAHLIFE,EQ,385.1,385.1,361.2,366.95,367.0,373.85,25068,27-FEB-2020
MAHLIFE,EQ,376.2,388.85,369.95,373.85,388.85,382.75,22959,26-FEB-2020
MAHLIFE,EQ,385.3,395.0,379.4,382.75,380.75,389.85,110373,25-FEB-2020
MAHLIFE,EQ,392.65,395.0,382.0,389.85,390.0,395.95,21534,24-FEB-2020
MAHLIFE,EQ,378.95,398.5,377.65,395.95,396.95,383.25,15109,20-FEB-2020
MAHLIFE,EQ,378.0,386.55,375.95,383.25,380.4,378.0,13422,19-FEB-2020
MAHLIFE,EQ,388.0,388.0,365.15,378.0,377.0,380.8,27472,18-FEB-2020
MAHLIFE,EQ,384.45,389.75,374.4,380.8,377.8,385.6,32486,17-FEB-2020
MAHLIFE,EQ,393.35,395.55,381.05,385.6,383.2,396.05,22400,14-FEB-2020
MAHLIFE,EQ,399.0,399.95,395.0,396.05,395.05,400.0,35789,13-FEB-2020
MAHLIFE,EQ,401.1,404.5,396.25,400.0,400.05,403.2,24619,12-FEB-2020
MAHLIFE,EQ,407.35,409.35,395.6,403.2,403.0,407.3,51050,11-FEB-2020
MAHLIFE,EQ,409.0,417.2,402.05,407.3,405.95,404.1,133659,10-FEB-2020
