SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MAJESCO,EQ,223.0,226.0,204.05,209.3,206.0,219.6,45638,20-MAR-2020
MAJESCO,EQ,222.4,240.0,210.0,219.6,214.0,245.05,26231,19-MAR-2020
MAJESCO,EQ,273.95,273.95,220.0,245.05,255.0,262.1,28036,18-MAR-2020
MAJESCO,EQ,282.75,282.95,240.95,262.1,256.5,283.1,39166,17-MAR-2020
MAJESCO,EQ,290.0,308.0,272.1,283.1,276.1,311.75,29931,16-MAR-2020
MAJESCO,EQ,275.0,330.0,252.0,311.75,328.95,303.4,42895,13-MAR-2020
MAJESCO,EQ,345.0,345.0,297.5,303.4,300.5,353.65,37801,12-MAR-2020
MAJESCO,EQ,382.5,382.5,324.0,353.65,363.0,374.1,45941,11-MAR-2020
MAJESCO,EQ,384.0,385.0,360.0,374.1,367.0,385.4,53766,09-MAR-2020
MAJESCO,EQ,368.05,390.0,360.0,385.4,387.5,371.25,21206,06-MAR-2020
MAJESCO,EQ,370.1,374.5,364.55,371.25,370.0,370.15,10642,05-MAR-2020
MAJESCO,EQ,377.0,381.5,366.95,370.15,370.0,378.15,5774,04-MAR-2020
MAJESCO,EQ,383.0,387.8,372.4,378.15,376.7,381.15,10066,03-MAR-2020
MAJESCO,EQ,369.9,407.65,361.05,381.15,396.0,365.65,21722,02-MAR-2020
MAJESCO,EQ,368.15,370.9,359.2,365.65,366.0,375.45,29682,28-FEB-2020
MAJESCO,EQ,381.0,381.4,368.95,375.45,375.0,381.7,16568,27-FEB-2020
MAJESCO,EQ,381.25,387.95,381.0,381.7,381.0,382.2,11810,26-FEB-2020
MAJESCO,EQ,386.25,388.8,381.1,382.2,381.7,384.1,9827,25-FEB-2020
MAJESCO,EQ,386.0,394.4,382.6,384.1,383.0,394.5,21967,24-FEB-2020
MAJESCO,EQ,398.0,403.9,392.6,394.5,394.95,398.1,17382,20-FEB-2020
MAJESCO,EQ,405.2,405.2,395.15,398.1,398.0,397.9,9380,19-FEB-2020
MAJESCO,EQ,399.9,404.75,396.2,397.9,398.0,400.7,19640,18-FEB-2020
MAJESCO,EQ,413.0,413.0,395.65,400.7,400.0,404.1,10101,17-FEB-2020
MAJESCO,EQ,406.9,421.0,401.1,404.1,404.2,407.35,20723,14-FEB-2020
MAJESCO,EQ,415.1,429.8,405.0,407.35,407.8,420.5,10945,13-FEB-2020
MAJESCO,EQ,419.7,428.4,417.2,420.5,419.8,417.2,27003,12-FEB-2020
MAJESCO,EQ,423.0,429.95,414.0,417.2,414.0,425.85,41530,11-FEB-2020
MAJESCO,EQ,407.25,451.95,402.3,425.85,423.0,407.25,305050,10-FEB-2020
