SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MANGTIMBER,BE,8.8,8.8,8.8,8.8,8.8,8.9,6,18-MAR-2020
MANGTIMBER,BE,8.9,8.9,8.9,8.9,8.9,9.35,40,17-MAR-2020
MANGTIMBER,BE,9.8,9.8,9.35,9.35,9.35,9.8,101,16-MAR-2020
MANGTIMBER,BE,10.0,10.2,9.8,9.8,9.8,9.8,802,11-MAR-2020
MANGTIMBER,EQ,10.0,10.0,9.8,9.8,9.8,10.3,11130,05-MAR-2020
MANGTIMBER,EQ,10.7,10.7,10.0,10.3,10.3,10.2,11253,04-MAR-2020
MANGTIMBER,BE,10.0,10.2,10.0,10.2,10.2,10.0,4985,03-MAR-2020
MANGTIMBER,BE,10.0,10.4,10.0,10.0,10.0,10.0,3420,02-MAR-2020
MANGTIMBER,BE,10.0,10.1,10.0,10.0,10.0,10.0,13639,28-FEB-2020
MANGTIMBER,BE,10.0,10.25,10.0,10.0,10.0,10.0,2655,27-FEB-2020
MANGTIMBER,BE,10.0,10.1,10.0,10.0,10.0,10.0,2257,26-FEB-2020
MANGTIMBER,BE,10.0,10.0,10.0,10.0,10.0,10.0,951,25-FEB-2020
MANGTIMBER,BE,10.4,10.4,10.0,10.0,10.0,10.4,505,24-FEB-2020
MANGTIMBER,BE,9.9,10.4,9.8,10.4,10.4,10.0,930,20-FEB-2020
MANGTIMBER,BE,10.4,10.4,10.0,10.0,10.0,10.2,10,19-FEB-2020
MANGTIMBER,BE,10.0,10.35,10.0,10.2,10.05,10.1,50332,18-FEB-2020
MANGTIMBER,BE,10.2,10.35,10.1,10.1,10.1,10.0,4350,17-FEB-2020
MANGTIMBER,BE,10.0,10.0,10.0,10.0,10.0,10.25,347,14-FEB-2020
MANGTIMBER,BE,10.0,10.25,10.0,10.25,10.25,10.0,2639,13-FEB-2020
MANGTIMBER,BE,10.0,10.0,10.0,10.0,10.0,10.0,3500,12-FEB-2020
MANGTIMBER,BE,10.0,10.0,10.0,10.0,10.0,10.05,1230,11-FEB-2020
MANGTIMBER,BE,10.45,10.45,10.0,10.05,10.05,10.45,1182,10-FEB-2020
