SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MANINDS,EQ,36.5,39.5,36.1,36.6,37.0,37.3,191028,20-MAR-2020
MANINDS,EQ,39.0,40.0,36.05,37.3,37.1,38.85,207318,19-MAR-2020
MANINDS,EQ,44.65,45.9,38.15,38.85,39.75,43.15,115265,18-MAR-2020
MANINDS,EQ,40.0,46.0,40.0,43.15,43.0,41.05,88597,17-MAR-2020
MANINDS,EQ,42.05,45.95,38.5,41.05,41.55,42.05,147977,16-MAR-2020
MANINDS,EQ,34.0,43.95,29.75,42.05,42.0,36.75,163996,13-MAR-2020
MANINDS,EQ,43.5,43.5,35.9,36.75,37.75,43.9,157840,12-MAR-2020
MANINDS,EQ,45.95,48.4,43.5,43.9,43.9,45.3,85909,11-MAR-2020
MANINDS,EQ,49.5,51.7,44.2,45.3,45.6,50.45,146241,09-MAR-2020
MANINDS,EQ,49.9,51.35,48.0,50.45,50.6,51.55,72933,06-MAR-2020
MANINDS,EQ,51.5,54.4,51.0,51.55,51.25,51.2,24835,05-MAR-2020
MANINDS,EQ,53.0,54.25,50.5,51.2,51.0,53.35,52478,04-MAR-2020
MANINDS,EQ,54.9,55.9,53.0,53.35,53.1,52.95,84466,03-MAR-2020
MANINDS,EQ,52.4,55.9,51.5,52.95,53.45,51.35,242948,02-MAR-2020
MANINDS,EQ,55.0,55.0,50.0,51.35,52.0,55.1,169920,28-FEB-2020
MANINDS,EQ,55.65,56.2,55.0,55.1,55.05,55.05,72983,27-FEB-2020
MANINDS,EQ,56.2,57.25,54.5,55.05,54.9,56.8,39246,26-FEB-2020
MANINDS,EQ,57.65,57.65,56.1,56.8,56.75,56.55,45102,25-FEB-2020
MANINDS,EQ,57.0,58.5,55.8,56.55,57.3,55.4,192905,24-FEB-2020
MANINDS,EQ,56.95,58.5,55.0,55.4,55.1,56.3,130663,20-FEB-2020
MANINDS,EQ,55.9,58.9,54.6,56.3,56.25,54.7,585438,19-FEB-2020
MANINDS,EQ,54.5,54.9,53.4,54.7,54.5,54.5,46240,18-FEB-2020
MANINDS,EQ,54.3,55.3,53.8,54.5,55.3,54.35,34830,17-FEB-2020
MANINDS,EQ,54.1,56.1,53.1,54.35,54.5,55.05,93792,14-FEB-2020
MANINDS,EQ,54.8,58.45,53.0,55.05,55.4,59.15,287788,13-FEB-2020
MANINDS,EQ,63.0,64.4,58.9,59.15,59.05,59.35,278761,12-FEB-2020
MANINDS,EQ,58.25,59.7,58.1,59.35,59.1,58.75,109321,11-FEB-2020
MANINDS,EQ,58.5,59.9,58.1,58.75,58.55,57.6,178716,10-FEB-2020
