SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MANINFRA,EQ,15.6,17.8,15.5,17.55,17.55,16.35,166016,20-MAR-2020
MANINFRA,EQ,16.75,17.5,15.15,16.35,16.7,16.75,606151,19-MAR-2020
MANINFRA,EQ,18.75,19.3,15.55,16.75,17.0,18.75,356700,18-MAR-2020
MANINFRA,EQ,20.75,20.75,18.5,18.75,18.6,19.95,162898,17-MAR-2020
MANINFRA,EQ,19.0,20.8,19.0,19.95,20.5,20.45,105457,16-MAR-2020
MANINFRA,EQ,17.9,21.9,16.25,20.45,20.65,20.3,402176,13-MAR-2020
MANINFRA,EQ,21.5,22.85,19.3,20.3,20.7,22.6,183337,12-MAR-2020
MANINFRA,EQ,22.25,26.5,22.25,22.6,22.5,22.45,107148,11-MAR-2020
MANINFRA,EQ,24.0,24.15,21.5,22.45,22.25,25.0,114767,09-MAR-2020
MANINFRA,EQ,25.95,26.0,24.0,25.0,25.0,26.05,97500,06-MAR-2020
MANINFRA,EQ,25.2,26.25,25.2,26.05,26.25,25.2,90019,05-MAR-2020
MANINFRA,EQ,26.45,26.55,24.9,25.2,25.05,26.25,90251,04-MAR-2020
MANINFRA,EQ,25.25,26.7,25.25,26.25,26.2,25.6,35567,03-MAR-2020
MANINFRA,EQ,27.6,27.6,24.4,25.6,25.25,26.4,119222,02-MAR-2020
MANINFRA,EQ,26.1,26.95,26.05,26.4,26.1,27.1,350963,28-FEB-2020
MANINFRA,EQ,27.7,27.85,26.5,27.1,27.35,27.55,73651,27-FEB-2020
MANINFRA,EQ,27.45,27.85,27.1,27.55,27.4,27.85,98232,26-FEB-2020
MANINFRA,EQ,28.2,28.5,27.55,27.85,27.8,28.15,41423,25-FEB-2020
MANINFRA,EQ,28.1,29.0,27.4,28.15,28.2,28.1,93033,24-FEB-2020
MANINFRA,EQ,29.0,29.0,27.65,28.1,28.15,28.5,214103,20-FEB-2020
MANINFRA,EQ,28.3,29.1,28.3,28.5,28.45,28.1,101685,19-FEB-2020
MANINFRA,EQ,29.6,29.6,27.75,28.1,28.5,28.95,76289,18-FEB-2020
MANINFRA,EQ,29.0,30.2,28.35,28.95,29.0,28.55,1121038,17-FEB-2020
MANINFRA,EQ,29.1,29.1,28.4,28.55,28.5,29.1,101181,14-FEB-2020
MANINFRA,EQ,29.95,29.95,28.75,29.1,29.2,29.5,51031,13-FEB-2020
MANINFRA,EQ,29.8,30.4,29.0,29.5,29.9,29.8,45998,12-FEB-2020
MANINFRA,EQ,31.2,32.15,29.3,29.8,29.6,31.1,69475,11-FEB-2020
MANINFRA,EQ,31.6,31.65,30.6,31.1,31.45,31.35,121679,10-FEB-2020
