SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MARICO,EQ,250.55,260.9,247.8,255.9,255.0,248.3,3892214,20-MAR-2020
MARICO,EQ,245.0,255.25,236.5,248.3,247.0,248.85,3059325,19-MAR-2020
MARICO,EQ,253.5,253.95,241.5,248.85,248.7,249.15,3570030,18-MAR-2020
MARICO,EQ,252.5,257.0,245.9,249.15,250.45,252.5,3816942,17-MAR-2020
MARICO,EQ,250.0,271.55,246.65,252.5,255.55,260.65,4370511,16-MAR-2020
MARICO,EQ,245.85,272.25,236.05,260.65,260.5,259.85,4096772,13-MAR-2020
MARICO,EQ,260.0,263.6,248.3,259.85,260.5,269.75,7679029,12-MAR-2020
MARICO,EQ,266.05,276.0,265.2,269.75,270.0,266.05,3271005,11-MAR-2020
MARICO,EQ,281.9,281.9,262.25,266.05,267.6,282.55,4922160,09-MAR-2020
MARICO,EQ,290.0,290.0,280.5,282.55,281.0,293.25,4709414,06-MAR-2020
MARICO,EQ,295.45,300.45,292.0,293.25,292.65,295.05,1666684,05-MAR-2020
MARICO,EQ,298.35,301.25,292.25,295.05,295.0,296.1,2578871,04-MAR-2020
MARICO,EQ,297.5,298.1,290.5,296.1,297.35,291.25,3970650,03-MAR-2020
MARICO,EQ,302.0,311.4,290.0,291.25,291.6,298.75,4185685,02-MAR-2020
MARICO,EQ,301.8,303.3,295.0,298.75,300.0,306.4,4184422,28-FEB-2020
MARICO,EQ,306.8,307.9,302.0,306.4,306.0,306.15,2162147,27-FEB-2020
MARICO,EQ,306.8,308.25,299.9,306.15,306.3,305.95,3773560,26-FEB-2020
MARICO,EQ,304.2,307.2,301.35,305.95,305.8,304.25,2500345,25-FEB-2020
MARICO,EQ,307.0,308.1,302.2,304.25,302.7,306.2,2922212,24-FEB-2020
MARICO,EQ,300.0,307.0,297.0,306.2,306.95,299.85,3667812,20-FEB-2020
MARICO,EQ,302.85,306.95,298.25,299.85,299.5,299.75,2530762,19-FEB-2020
MARICO,EQ,298.0,301.0,292.15,299.75,300.0,296.6,2608197,18-FEB-2020
MARICO,EQ,303.0,303.2,296.0,296.6,296.2,302.2,2862510,17-FEB-2020
MARICO,EQ,304.4,305.4,300.9,302.2,301.9,303.4,2688377,14-FEB-2020
MARICO,EQ,306.2,307.1,302.5,303.4,303.45,305.6,1574245,13-FEB-2020
MARICO,EQ,305.6,310.4,304.55,305.6,305.85,304.9,2739107,12-FEB-2020
MARICO,EQ,309.0,311.4,304.0,304.9,305.4,308.65,1827686,11-FEB-2020
MARICO,EQ,313.6,313.95,307.0,308.65,308.8,311.7,1685622,10-FEB-2020
