SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MASFIN,EQ,599.85,628.35,565.55,575.65,567.0,628.35,95412,20-MAR-2020
MASFIN,EQ,703.0,715.1,628.35,628.35,628.35,785.4,117183,19-MAR-2020
MASFIN,EQ,953.35,964.45,762.7,785.4,773.0,953.35,79489,18-MAR-2020
MASFIN,EQ,1005.0,1041.9,930.0,953.35,937.0,1014.15,39885,17-MAR-2020
MASFIN,EQ,1002.1,1050.0,958.0,1014.15,992.0,1060.15,41292,16-MAR-2020
MASFIN,EQ,900.0,1159.7,820.5,1060.15,1070.0,982.8,51610,13-MAR-2020
MASFIN,EQ,1022.2,1022.2,847.45,982.8,966.5,1059.3,94040,12-MAR-2020
MASFIN,EQ,1025.0,1083.7,1025.0,1059.3,1040.0,1056.55,29521,11-MAR-2020
MASFIN,EQ,1060.0,1107.0,1009.8,1056.55,1082.0,1079.0,40852,09-MAR-2020
MASFIN,EQ,1009.0,1098.0,986.3,1079.0,1090.0,1042.6,36240,06-MAR-2020
MASFIN,EQ,1066.5,1066.5,1030.0,1042.6,1045.9,1023.1,42447,05-MAR-2020
MASFIN,EQ,1065.5,1089.0,1001.0,1023.1,1016.5,1066.4,22945,04-MAR-2020
MASFIN,EQ,1070.0,1080.0,998.8,1066.4,1065.5,1020.5,23971,03-MAR-2020
MASFIN,EQ,1088.0,1104.9,998.05,1020.5,1023.0,1039.75,33330,02-MAR-2020
MASFIN,EQ,1054.2,1137.0,981.0,1039.75,1094.65,1095.6,58308,28-FEB-2020
MASFIN,EQ,1106.0,1130.45,1052.2,1095.6,1087.5,1108.8,36461,27-FEB-2020
MASFIN,EQ,1062.2,1132.45,1059.55,1108.8,1105.5,1073.55,49379,26-FEB-2020
MASFIN,EQ,1128.0,1159.0,1061.1,1073.55,1080.0,1122.4,50228,25-FEB-2020
MASFIN,EQ,1100.5,1176.0,1100.0,1122.4,1109.7,1088.65,127072,24-FEB-2020
MASFIN,EQ,1036.05,1096.45,1036.05,1088.65,1092.0,1034.65,58263,20-FEB-2020
MASFIN,EQ,1020.0,1060.0,1015.3,1034.65,1033.95,1016.3,44316,19-FEB-2020
MASFIN,EQ,980.0,1050.0,950.0,1016.3,1028.85,980.85,152335,18-FEB-2020
MASFIN,EQ,1137.0,1137.0,963.6,980.85,979.0,1128.4,90874,17-FEB-2020
MASFIN,EQ,1245.0,1250.0,1105.3,1128.4,1114.0,1230.2,57814,14-FEB-2020
MASFIN,EQ,1200.0,1270.0,1180.15,1230.2,1235.0,1180.0,44394,13-FEB-2020
MASFIN,EQ,1200.0,1200.0,1131.85,1180.0,1180.0,1162.9,12638,12-FEB-2020
MASFIN,EQ,1144.95,1189.4,1130.05,1162.9,1160.0,1127.05,39194,11-FEB-2020
MASFIN,EQ,1123.0,1144.85,1110.0,1127.05,1111.0,1116.35,18969,10-FEB-2020
