SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MAWANASUG,EQ,21.5,25.0,21.5,23.0,23.0,21.5,60176,20-MAR-2020
MAWANASUG,EQ,22.6,22.6,21.0,21.5,21.65,23.3,126024,19-MAR-2020
MAWANASUG,EQ,25.3,26.0,22.55,23.3,23.4,25.2,80648,18-MAR-2020
MAWANASUG,EQ,24.25,26.55,24.25,25.2,25.5,25.0,77605,17-MAR-2020
MAWANASUG,EQ,25.65,26.5,24.5,25.0,25.6,27.25,67571,16-MAR-2020
MAWANASUG,EQ,24.4,29.05,21.45,27.25,27.75,25.0,222876,13-MAR-2020
MAWANASUG,EQ,28.1,28.1,24.75,25.0,25.35,29.65,213438,12-MAR-2020
MAWANASUG,EQ,30.15,31.2,28.55,29.65,29.6,29.0,190134,11-MAR-2020
MAWANASUG,EQ,33.7,33.7,28.6,29.0,28.7,34.0,245111,09-MAR-2020
MAWANASUG,EQ,33.6,34.6,31.85,34.0,33.9,35.2,84854,06-MAR-2020
MAWANASUG,EQ,34.1,35.8,33.7,35.2,35.15,33.9,121652,05-MAR-2020
MAWANASUG,EQ,34.9,35.2,32.6,33.9,33.95,34.7,81723,04-MAR-2020
MAWANASUG,EQ,33.7,35.75,33.1,34.7,35.0,33.3,138985,03-MAR-2020
MAWANASUG,EQ,35.6,37.9,32.7,33.3,33.35,34.6,96830,02-MAR-2020
MAWANASUG,EQ,36.0,37.5,33.45,34.6,34.3,37.3,288427,28-FEB-2020
MAWANASUG,EQ,38.7,38.7,37.1,37.3,37.45,38.7,73988,27-FEB-2020
MAWANASUG,EQ,39.1,39.9,38.55,38.7,38.65,39.9,100711,26-FEB-2020
MAWANASUG,EQ,39.55,40.15,38.85,39.9,40.0,39.55,130402,25-FEB-2020
MAWANASUG,EQ,38.6,40.25,38.6,39.55,39.7,39.7,85905,24-FEB-2020
MAWANASUG,EQ,39.6,40.7,39.5,39.7,39.7,39.7,128844,20-FEB-2020
MAWANASUG,EQ,41.0,41.3,39.1,39.7,39.6,38.75,236730,19-FEB-2020
MAWANASUG,EQ,40.5,40.5,38.2,38.75,38.65,40.75,191209,18-FEB-2020
MAWANASUG,EQ,41.15,44.0,40.2,40.75,40.55,38.7,898891,17-FEB-2020
MAWANASUG,EQ,38.7,39.75,38.35,38.7,38.55,38.95,120334,14-FEB-2020
MAWANASUG,EQ,40.85,42.25,38.55,38.95,38.85,40.9,714821,13-FEB-2020
MAWANASUG,EQ,39.95,41.5,38.5,40.9,41.0,39.65,335067,12-FEB-2020
MAWANASUG,EQ,40.8,41.1,39.3,39.65,39.6,40.85,119001,11-FEB-2020
MAWANASUG,EQ,41.7,41.7,40.05,40.85,40.8,41.55,71933,10-FEB-2020
