SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MEGASOFT,EQ,5.65,6.2,5.5,5.65,5.6,5.65,97180,20-MAR-2020
MEGASOFT,EQ,5.95,6.0,5.4,5.65,5.7,6.0,26037,19-MAR-2020
MEGASOFT,EQ,6.15,6.2,5.9,6.0,5.9,6.1,117070,18-MAR-2020
MEGASOFT,EQ,6.0,6.5,6.0,6.1,6.15,6.15,68198,17-MAR-2020
MEGASOFT,EQ,6.75,6.75,5.85,6.15,6.2,6.45,47680,16-MAR-2020
MEGASOFT,EQ,5.95,7.0,5.95,6.45,6.3,6.6,47340,13-MAR-2020
MEGASOFT,EQ,6.7,6.85,6.6,6.6,6.6,6.85,50040,12-MAR-2020
MEGASOFT,EQ,7.0,7.45,6.8,6.85,6.85,6.95,12348,11-MAR-2020
MEGASOFT,EQ,6.85,7.2,6.6,6.95,7.0,7.05,49864,09-MAR-2020
MEGASOFT,EQ,6.9,7.15,6.6,7.05,7.1,7.0,47852,06-MAR-2020
MEGASOFT,EQ,6.8,7.3,6.75,7.0,7.0,6.95,39738,05-MAR-2020
MEGASOFT,EQ,6.9,7.0,6.85,6.95,7.0,7.05,15331,04-MAR-2020
MEGASOFT,EQ,6.55,7.2,6.55,7.05,7.0,7.0,66232,03-MAR-2020
MEGASOFT,EQ,6.75,7.25,6.75,7.0,7.1,6.95,34069,02-MAR-2020
MEGASOFT,EQ,7.0,7.05,6.65,6.95,7.0,7.1,7549,28-FEB-2020
MEGASOFT,EQ,7.0,7.35,7.0,7.1,7.1,7.1,23814,27-FEB-2020
MEGASOFT,EQ,7.3,7.45,7.1,7.1,7.1,7.4,28722,26-FEB-2020
MEGASOFT,EQ,7.15,7.5,7.05,7.4,7.5,7.15,22804,25-FEB-2020
MEGASOFT,EQ,7.3,7.45,7.0,7.15,7.15,7.25,35412,24-FEB-2020
MEGASOFT,EQ,7.25,7.75,6.8,7.25,7.3,7.5,116441,20-FEB-2020
MEGASOFT,EQ,7.1,7.7,7.0,7.5,7.4,7.25,28116,19-FEB-2020
MEGASOFT,EQ,7.3,7.75,7.25,7.25,7.25,7.55,14451,18-FEB-2020
MEGASOFT,EQ,8.0,8.0,7.5,7.55,7.5,7.75,43249,17-FEB-2020
MEGASOFT,EQ,7.75,8.5,7.65,7.75,7.8,8.05,14351,14-FEB-2020
MEGASOFT,EQ,8.4,8.4,7.8,8.05,8.15,8.05,16362,13-FEB-2020
MEGASOFT,EQ,7.95,8.5,7.95,8.05,8.15,8.25,18359,12-FEB-2020
MEGASOFT,EQ,7.75,8.5,7.75,8.25,8.35,8.05,45047,11-FEB-2020
MEGASOFT,EQ,7.9,8.2,7.65,8.05,8.0,7.9,24861,10-FEB-2020
