SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MELSTAR,BZ,2.9,2.9,2.9,2.9,2.9,3.05,200,20-MAR-2020
MELSTAR,BZ,3.05,3.05,3.05,3.05,3.05,3.2,220,19-MAR-2020
MELSTAR,BZ,3.2,3.2,3.2,3.2,3.2,3.35,72,18-MAR-2020
MELSTAR,BZ,3.35,3.35,3.35,3.35,3.35,3.5,285,17-MAR-2020
MELSTAR,BZ,3.5,3.5,3.5,3.5,3.5,3.65,1300,16-MAR-2020
MELSTAR,BZ,3.65,3.65,3.65,3.65,3.65,3.8,1630,13-MAR-2020
MELSTAR,BZ,3.8,3.8,3.8,3.8,3.8,4.0,1285,12-MAR-2020
MELSTAR,BZ,4.0,4.0,4.0,4.0,4.0,4.2,1460,11-MAR-2020
MELSTAR,BZ,4.2,4.2,4.2,4.2,4.2,4.4,6370,09-MAR-2020
MELSTAR,BE,4.4,4.4,4.4,4.4,4.4,4.6,80,02-MAR-2020
MELSTAR,BE,4.6,4.6,4.6,4.6,4.6,4.8,6510,24-FEB-2020
MELSTAR,BE,4.8,4.8,4.8,4.8,4.8,5.05,3475,17-FEB-2020
MELSTAR,BE,5.45,5.45,5.05,5.05,5.05,5.3,26457,10-FEB-2020
