SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MFSL,EQ,374.3,414.0,369.0,407.75,405.65,378.1,1588783,20-MAR-2020
MFSL,EQ,339.0,398.85,318.65,378.1,369.0,357.35,2769455,19-MAR-2020
MFSL,EQ,380.3,382.45,350.25,357.35,355.15,376.05,2851414,18-MAR-2020
MFSL,EQ,398.0,415.5,372.55,376.05,378.0,401.15,1052586,17-MAR-2020
MFSL,EQ,401.0,423.4,390.3,401.15,398.0,429.9,1353701,16-MAR-2020
MFSL,EQ,399.95,457.6,355.5,429.9,434.95,444.35,2788845,13-MAR-2020
MFSL,EQ,485.0,487.5,440.1,444.35,442.0,501.7,1635846,12-MAR-2020
MFSL,EQ,499.95,518.75,495.0,501.7,500.0,500.2,3169499,11-MAR-2020
MFSL,EQ,480.0,507.5,475.25,500.2,496.65,520.8,5239734,09-MAR-2020
MFSL,EQ,559.75,559.75,477.0,520.8,516.7,605.2,14305858,06-MAR-2020
MFSL,EQ,597.8,610.55,590.55,605.2,604.85,590.95,2950492,05-MAR-2020
MFSL,EQ,581.95,611.9,581.45,590.95,590.0,591.4,5590702,04-MAR-2020
MFSL,EQ,575.1,594.15,575.1,591.4,590.4,573.95,2342889,03-MAR-2020
MFSL,EQ,589.0,596.7,570.35,573.95,572.75,577.3,2742411,02-MAR-2020
MFSL,EQ,591.75,595.75,570.6,577.3,577.8,597.65,4532180,28-FEB-2020
MFSL,EQ,590.0,607.6,586.15,597.65,600.25,588.15,3245996,27-FEB-2020
MFSL,EQ,586.95,593.6,581.8,588.15,589.35,590.25,2156219,26-FEB-2020
MFSL,EQ,592.2,602.0,578.6,590.25,590.1,592.2,6316124,25-FEB-2020
MFSL,EQ,554.9,609.65,548.3,592.2,592.05,565.0,16452997,24-FEB-2020
MFSL,EQ,542.0,597.05,542.0,565.0,562.75,516.75,26621595,20-FEB-2020
MFSL,EQ,502.0,523.0,501.35,516.75,522.0,502.15,1547819,19-FEB-2020
MFSL,EQ,491.55,505.75,486.3,502.15,501.2,491.95,1809725,18-FEB-2020
MFSL,EQ,486.95,496.15,475.45,491.95,491.5,486.95,1075322,17-FEB-2020
MFSL,EQ,494.0,494.0,481.6,486.95,486.55,491.6,749983,14-FEB-2020
MFSL,EQ,494.6,496.65,483.75,491.6,490.85,491.55,1252153,13-FEB-2020
MFSL,EQ,482.8,512.0,482.8,491.55,490.25,482.6,3564722,12-FEB-2020
MFSL,EQ,480.5,486.2,477.2,482.6,481.0,478.2,414473,11-FEB-2020
MFSL,EQ,482.6,482.6,473.25,478.2,477.9,479.65,403602,10-FEB-2020
