SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MHHL,SM,12.95,12.95,12.5,12.5,12.5,13.0,12000,20-MAR-2020
MHHL,SM,13.0,13.0,13.0,13.0,13.0,13.0,9000,19-MAR-2020
MHHL,SM,13.0,13.0,13.0,13.0,13.0,13.5,9000,18-MAR-2020
MHHL,SM,14.4,14.45,13.5,13.5,13.5,13.8,9000,17-MAR-2020
MHHL,SM,13.8,13.8,13.8,13.8,13.8,14.5,6000,16-MAR-2020
MHHL,SM,14.25,14.95,14.25,14.5,14.5,15.0,15000,12-MAR-2020
MHHL,SM,15.0,15.0,15.0,15.0,15.0,15.0,3000,11-MAR-2020
MHHL,SM,15.0,15.0,15.0,15.0,15.0,15.75,3000,09-MAR-2020
MHHL,SM,15.7,15.75,15.7,15.75,15.75,15.0,21000,06-MAR-2020
MHHL,SM,15.0,15.0,15.0,15.0,15.0,15.0,9000,05-MAR-2020
MHHL,SM,15.0,15.0,15.0,15.0,15.0,15.0,12000,04-MAR-2020
MHHL,SM,14.15,15.0,14.15,15.0,15.0,14.85,9000,03-MAR-2020
MHHL,SM,14.85,14.85,14.85,14.85,14.85,15.6,3000,02-MAR-2020
MHHL,SM,15.6,15.6,15.6,15.6,15.6,16.4,3000,28-FEB-2020
MHHL,SM,16.5,16.5,16.3,16.4,16.3,17.15,6000,26-FEB-2020
MHHL,SM,17.15,17.15,17.15,17.15,17.15,17.85,3000,25-FEB-2020
MHHL,SM,17.3,17.85,17.3,17.85,17.85,18.15,9000,24-FEB-2020
MHHL,SM,18.05,18.15,18.05,18.15,18.15,19.0,15000,19-FEB-2020
MHHL,SM,19.5,19.5,19.0,19.0,19.0,19.0,12000,17-FEB-2020
MHHL,SM,20.0,20.0,19.0,19.0,19.0,20.0,12000,14-FEB-2020
MHHL,SM,19.9,20.0,19.9,20.0,20.0,20.0,57000,13-FEB-2020
MHHL,SM,20.2,20.2,19.95,20.0,20.0,21.0,42000,12-FEB-2020
MHHL,SM,21.0,21.0,21.0,21.0,21.0,20.0,3000,11-FEB-2020
MHHL,SM,19.2,20.0,19.2,20.0,20.0,20.2,6000,10-FEB-2020
