SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MOHOTAIND,EQ,5.15,5.15,5.1,5.1,5.1,5.35,3585,20-MAR-2020
MOHOTAIND,EQ,5.6,5.6,5.35,5.35,5.35,5.6,1291,19-MAR-2020
MOHOTAIND,EQ,6.1,6.1,5.6,5.6,5.6,5.85,1750,18-MAR-2020
MOHOTAIND,EQ,5.85,6.25,5.85,5.85,5.85,6.15,3501,17-MAR-2020
MOHOTAIND,EQ,6.45,6.45,6.15,6.15,6.15,6.45,912,16-MAR-2020
MOHOTAIND,EQ,6.45,7.0,6.45,6.45,6.45,6.75,6310,13-MAR-2020
MOHOTAIND,EQ,7.1,7.1,6.75,6.75,6.75,7.1,167,12-MAR-2020
MOHOTAIND,EQ,7.1,7.1,7.1,7.1,7.1,7.45,440,11-MAR-2020
MOHOTAIND,EQ,7.45,7.45,7.45,7.45,7.45,7.45,1,09-MAR-2020
MOHOTAIND,EQ,7.0,7.45,7.0,7.45,7.45,7.35,3456,06-MAR-2020
MOHOTAIND,EQ,7.2,7.4,6.9,7.35,7.0,7.25,1234,05-MAR-2020
MOHOTAIND,EQ,7.35,7.35,6.65,7.25,7.25,7.0,862,04-MAR-2020
MOHOTAIND,BE,7.0,7.0,7.0,7.0,7.0,7.35,2444,03-MAR-2020
MOHOTAIND,BE,7.35,7.35,7.35,7.35,7.35,7.35,100,02-MAR-2020
MOHOTAIND,BE,7.4,7.4,7.35,7.35,7.35,7.25,34,28-FEB-2020
MOHOTAIND,BE,7.25,7.25,7.25,7.25,7.25,7.6,300,27-FEB-2020
MOHOTAIND,BE,7.0,7.6,7.0,7.6,7.6,7.25,2487,26-FEB-2020
MOHOTAIND,BE,7.25,7.25,7.25,7.25,7.25,6.95,48,25-FEB-2020
MOHOTAIND,BE,7.5,7.5,6.8,6.95,6.8,7.15,5002,24-FEB-2020
MOHOTAIND,BE,7.15,7.2,7.15,7.15,7.15,7.5,4644,20-FEB-2020
MOHOTAIND,BE,7.5,7.5,7.5,7.5,7.5,7.85,9132,19-FEB-2020
MOHOTAIND,BE,8.25,8.25,7.85,7.85,7.85,8.25,835,18-FEB-2020
MOHOTAIND,BE,8.1,8.25,8.0,8.25,8.25,8.4,6120,17-FEB-2020
MOHOTAIND,BE,8.5,8.5,8.05,8.4,8.4,8.35,5741,14-FEB-2020
MOHOTAIND,BE,8.25,8.7,8.25,8.35,8.25,8.65,5342,13-FEB-2020
MOHOTAIND,BE,8.6,9.0,8.55,8.65,8.9,8.95,1790,12-FEB-2020
MOHOTAIND,BE,8.4,8.95,8.35,8.95,8.95,8.6,5517,11-FEB-2020
MOHOTAIND,BE,9.2,9.2,8.6,8.6,8.6,8.9,839,10-FEB-2020
