SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MOKSH,SM,25.0,25.0,25.0,25.0,25.0,27.0,6000,20-MAR-2020
MOKSH,SM,29.5,29.5,27.0,27.0,27.0,29.5,12000,19-MAR-2020
MOKSH,SM,29.5,29.5,29.5,29.5,29.5,29.5,15000,18-MAR-2020
MOKSH,SM,29.5,29.5,29.5,29.5,29.5,29.5,9000,17-MAR-2020
MOKSH,SM,29.5,29.5,29.5,29.5,29.5,29.0,15000,16-MAR-2020
MOKSH,SM,29.0,29.0,29.0,29.0,29.0,29.9,6000,13-MAR-2020
MOKSH,SM,31.0,31.0,29.0,29.9,29.0,31.0,54000,12-MAR-2020
MOKSH,SM,31.0,31.0,31.0,31.0,31.0,31.0,3000,11-MAR-2020
MOKSH,SM,31.0,31.0,31.0,31.0,31.0,31.0,3000,09-MAR-2020
MOKSH,SM,31.0,31.0,31.0,31.0,31.0,31.5,6000,06-MAR-2020
MOKSH,SM,31.5,31.5,31.5,31.5,31.5,31.5,6000,03-MAR-2020
MOKSH,SM,31.5,31.5,31.5,31.5,31.5,31.5,12000,02-MAR-2020
MOKSH,SM,31.5,31.5,31.5,31.5,31.5,32.0,6000,28-FEB-2020
MOKSH,SM,32.0,32.0,32.0,32.0,32.0,32.0,3000,27-FEB-2020
MOKSH,SM,32.05,32.05,32.0,32.0,32.0,32.0,18000,25-FEB-2020
MOKSH,SM,32.05,32.05,32.0,32.0,32.0,32.0,6000,24-FEB-2020
MOKSH,SM,32.1,32.1,32.0,32.0,32.0,33.95,6000,20-FEB-2020
MOKSH,SM,32.0,34.65,32.0,33.95,34.0,29.5,36000,19-FEB-2020
MOKSH,SM,28.55,29.5,28.5,29.5,29.5,29.0,15000,18-FEB-2020
MOKSH,SM,29.0,29.0,29.0,29.0,29.0,27.8,6000,17-FEB-2020
MOKSH,SM,28.05,28.05,27.8,27.8,27.8,27.05,9000,14-FEB-2020
