SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
MOLDTECH,EQ,36.15,37.75,33.45,35.6,35.65,33.15,5257,20-MAR-2020
MOLDTECH,EQ,39.8,39.8,33.0,33.15,33.0,36.85,9672,19-MAR-2020
MOLDTECH,EQ,37.8,39.05,36.0,36.85,37.5,37.4,9391,18-MAR-2020
MOLDTECH,EQ,38.05,39.0,36.25,37.4,37.7,38.0,10348,17-MAR-2020
MOLDTECH,EQ,42.8,42.8,36.2,38.0,38.0,38.25,12874,16-MAR-2020
MOLDTECH,EQ,39.3,41.1,30.2,38.25,38.2,36.7,8507,13-MAR-2020
MOLDTECH,EQ,39.15,41.8,36.0,36.7,36.0,40.0,12819,12-MAR-2020
MOLDTECH,EQ,40.7,40.95,39.25,40.0,39.8,40.7,8592,11-MAR-2020
MOLDTECH,EQ,40.45,41.75,38.55,40.7,40.75,40.5,7541,09-MAR-2020
MOLDTECH,EQ,42.75,42.75,39.3,40.5,40.5,43.35,11105,06-MAR-2020
MOLDTECH,EQ,44.5,44.75,42.75,43.35,42.85,43.05,7087,05-MAR-2020
MOLDTECH,EQ,44.65,44.65,42.75,43.05,44.0,43.25,8366,04-MAR-2020
MOLDTECH,EQ,43.65,45.5,43.2,43.25,44.25,43.55,5171,03-MAR-2020
MOLDTECH,EQ,45.85,46.6,43.35,43.55,43.6,44.35,2030,02-MAR-2020
MOLDTECH,EQ,45.0,45.0,42.6,44.35,44.5,44.05,5728,28-FEB-2020
MOLDTECH,EQ,45.35,45.35,43.55,44.05,44.0,44.5,3164,27-FEB-2020
MOLDTECH,EQ,46.75,46.75,44.1,44.5,44.35,44.95,685,26-FEB-2020
MOLDTECH,EQ,45.8,45.8,44.35,44.95,45.1,45.2,3496,25-FEB-2020
MOLDTECH,EQ,45.65,46.35,44.5,45.2,44.55,45.65,5018,24-FEB-2020
MOLDTECH,EQ,45.5,47.5,45.1,45.65,45.1,46.35,2816,20-FEB-2020
MOLDTECH,EQ,46.5,47.45,45.0,46.35,46.5,46.0,14050,19-FEB-2020
MOLDTECH,EQ,46.25,46.7,45.85,46.0,46.0,46.2,6971,18-FEB-2020
MOLDTECH,EQ,46.9,47.05,46.0,46.2,46.0,45.95,8619,17-FEB-2020
MOLDTECH,EQ,46.05,46.95,45.85,45.95,45.9,46.1,3891,14-FEB-2020
MOLDTECH,EQ,46.2,47.1,45.75,46.1,46.95,46.55,5212,13-FEB-2020
MOLDTECH,EQ,46.55,47.95,46.25,46.55,46.7,46.55,3123,12-FEB-2020
MOLDTECH,EQ,47.0,47.5,46.5,46.55,46.55,47.45,1951,11-FEB-2020
MOLDTECH,EQ,46.95,47.8,46.4,47.45,47.45,46.3,3054,10-FEB-2020
