SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NAGREEKCAP,EQ,4.6,5.5,4.6,4.6,4.6,5.1,6476,20-MAR-2020
NAGREEKCAP,EQ,5.05,5.85,5.05,5.1,5.05,5.6,788,19-MAR-2020
NAGREEKCAP,EQ,5.9,6.0,5.6,5.6,5.6,6.2,2098,18-MAR-2020
NAGREEKCAP,EQ,6.0,6.6,6.0,6.2,6.6,6.65,187,17-MAR-2020
NAGREEKCAP,EQ,5.7,6.9,5.7,6.65,6.65,6.3,1184,16-MAR-2020
NAGREEKCAP,EQ,6.3,6.3,6.3,6.3,6.3,6.3,1700,13-MAR-2020
NAGREEKCAP,EQ,6.3,6.3,6.3,6.3,6.3,6.95,107,12-MAR-2020
NAGREEKCAP,EQ,6.2,6.95,6.2,6.95,6.95,6.85,80,11-MAR-2020
NAGREEKCAP,EQ,6.2,7.5,6.2,6.85,6.85,6.85,1758,09-MAR-2020
NAGREEKCAP,EQ,6.0,6.9,6.0,6.85,6.9,6.45,463,06-MAR-2020
NAGREEKCAP,EQ,6.55,6.95,6.3,6.45,6.35,6.85,515,05-MAR-2020
NAGREEKCAP,EQ,7.15,7.15,6.55,6.85,6.55,7.15,414,04-MAR-2020
NAGREEKCAP,EQ,7.45,7.45,6.45,7.15,7.15,7.15,135,03-MAR-2020
NAGREEKCAP,EQ,6.85,7.15,6.3,7.15,7.15,6.85,376,02-MAR-2020
NAGREEKCAP,EQ,6.35,6.9,6.3,6.85,6.9,6.4,27,28-FEB-2020
NAGREEKCAP,EQ,6.5,7.0,6.15,6.4,6.4,6.6,4358,27-FEB-2020
NAGREEKCAP,EQ,6.9,7.35,6.55,6.6,6.55,6.9,802,26-FEB-2020
NAGREEKCAP,EQ,6.7,7.35,6.7,6.9,6.75,7.4,220,25-FEB-2020
NAGREEKCAP,EQ,6.4,7.4,6.4,7.4,7.4,6.8,303,24-FEB-2020
NAGREEKCAP,EQ,6.45,6.9,6.45,6.8,6.5,7.15,2458,20-FEB-2020
NAGREEKCAP,EQ,6.4,7.25,6.4,7.15,7.25,6.95,135,19-FEB-2020
NAGREEKCAP,EQ,6.55,6.95,6.55,6.95,6.95,7.25,260,18-FEB-2020
NAGREEKCAP,EQ,7.3,7.3,6.4,7.25,7.3,6.9,201,17-FEB-2020
NAGREEKCAP,EQ,7.45,7.45,6.4,6.9,7.0,6.95,216,14-FEB-2020
NAGREEKCAP,EQ,7.9,7.9,6.9,6.95,6.9,7.6,3962,13-FEB-2020
NAGREEKCAP,EQ,7.0,7.6,7.0,7.6,7.6,7.15,105,12-FEB-2020
NAGREEKCAP,EQ,7.3,7.75,6.8,7.15,7.15,7.3,609,11-FEB-2020
NAGREEKCAP,EQ,7.85,7.9,7.0,7.3,7.85,7.2,7645,10-FEB-2020
