SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NAHARCAP,EQ,55.0,57.8,51.55,55.1,57.45,55.2,7244,20-MAR-2020
NAHARCAP,EQ,50.3,57.9,50.3,55.2,55.0,50.3,17139,19-MAR-2020
NAHARCAP,EQ,51.15,51.15,49.1,50.3,50.3,52.25,833,18-MAR-2020
NAHARCAP,EQ,48.55,54.85,48.55,52.25,50.5,52.8,1783,17-MAR-2020
NAHARCAP,EQ,64.4,64.4,51.25,52.8,52.6,62.0,9543,16-MAR-2020
NAHARCAP,EQ,48.95,63.95,46.25,62.0,62.05,57.7,6990,13-MAR-2020
NAHARCAP,EQ,56.7,57.7,53.8,57.7,57.7,60.05,752,12-MAR-2020
NAHARCAP,EQ,65.0,65.0,57.4,60.05,59.7,61.6,2867,11-MAR-2020
NAHARCAP,EQ,61.6,64.9,57.25,61.6,61.6,64.6,6426,09-MAR-2020
NAHARCAP,EQ,65.3,65.3,61.1,64.6,64.9,65.4,817,06-MAR-2020
NAHARCAP,EQ,66.8,68.45,62.35,65.4,65.5,66.8,4206,05-MAR-2020
NAHARCAP,EQ,68.95,68.95,65.25,66.8,66.8,67.5,1625,04-MAR-2020
NAHARCAP,EQ,65.3,68.9,64.5,67.5,67.0,64.7,725,03-MAR-2020
NAHARCAP,EQ,72.4,72.4,63.55,64.7,65.0,66.3,4302,02-MAR-2020
NAHARCAP,EQ,66.1,68.9,64.0,66.3,66.25,66.1,2743,28-FEB-2020
NAHARCAP,EQ,68.0,69.8,65.35,66.1,66.1,67.3,1224,27-FEB-2020
NAHARCAP,EQ,64.05,71.35,64.05,67.3,67.3,69.15,947,26-FEB-2020
NAHARCAP,EQ,73.9,73.9,68.0,69.15,70.7,69.15,712,25-FEB-2020
NAHARCAP,EQ,68.2,71.0,68.0,69.15,71.0,70.2,1735,24-FEB-2020
NAHARCAP,EQ,72.5,72.5,68.7,70.2,69.0,71.0,3153,20-FEB-2020
NAHARCAP,EQ,70.0,71.9,68.5,71.0,71.0,68.15,1408,19-FEB-2020
NAHARCAP,EQ,73.7,73.7,67.5,68.15,68.0,70.5,9184,18-FEB-2020
NAHARCAP,EQ,72.0,72.0,70.0,70.5,70.5,73.5,2719,17-FEB-2020
NAHARCAP,EQ,74.75,78.8,70.1,73.5,73.5,74.75,4419,14-FEB-2020
NAHARCAP,EQ,76.75,76.95,74.65,74.75,74.75,74.35,1859,13-FEB-2020
NAHARCAP,EQ,76.7,79.0,73.25,74.35,76.75,78.35,2596,12-FEB-2020
NAHARCAP,EQ,78.0,79.0,76.05,78.35,79.0,78.3,1273,11-FEB-2020
NAHARCAP,EQ,78.5,79.1,76.1,78.3,78.3,78.4,1004,10-FEB-2020
