SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NANDANI,SM,11.15,11.15,11.15,11.15,11.15,10.65,5000,17-MAR-2020
NANDANI,SM,10.65,10.65,10.65,10.65,10.65,10.15,5000,16-MAR-2020
NANDANI,SM,10.15,10.15,10.15,10.15,10.15,9.9,5000,11-MAR-2020
NANDANI,SM,10.2,10.2,9.9,9.9,9.9,9.75,10000,09-MAR-2020
NANDANI,SM,9.75,9.75,9.5,9.75,9.75,9.3,15000,05-MAR-2020
NANDANI,SM,9.25,9.35,9.25,9.3,9.35,8.95,15000,04-MAR-2020
NANDANI,SM,8.8,8.95,8.5,8.95,8.95,8.7,20000,03-MAR-2020
NANDANI,SM,8.7,8.7,8.7,8.7,8.7,8.4,5000,02-MAR-2020
NANDANI,SM,8.45,8.45,8.4,8.4,8.45,8.05,15000,28-FEB-2020
NANDANI,SM,8.05,8.05,8.05,8.05,8.05,7.7,5000,27-FEB-2020
NANDANI,SM,7.7,7.7,7.7,7.7,7.7,7.7,10000,17-FEB-2020
NANDANI,SM,7.7,7.7,7.7,7.7,7.7,7.35,5000,14-FEB-2020
NANDANI,SM,7.35,7.35,7.35,7.35,7.35,7.35,5000,11-FEB-2020
