SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NESCO,EQ,495.0,525.05,495.0,502.0,504.0,496.75,65952,20-MAR-2020
NESCO,EQ,451.15,519.85,449.0,496.75,492.0,488.9,115730,19-MAR-2020
NESCO,EQ,543.45,547.0,485.0,488.9,486.2,538.45,100997,18-MAR-2020
NESCO,EQ,541.1,555.0,526.55,538.45,547.5,537.5,103005,17-MAR-2020
NESCO,EQ,560.5,569.0,533.45,537.5,541.0,592.05,92515,16-MAR-2020
NESCO,EQ,560.0,615.0,530.15,592.05,600.0,590.3,112219,13-MAR-2020
NESCO,EQ,625.0,625.0,582.05,590.3,590.0,654.75,133336,12-MAR-2020
NESCO,EQ,627.65,661.95,612.25,654.75,657.15,627.65,95785,11-MAR-2020
NESCO,EQ,630.5,638.9,594.05,627.65,621.5,648.6,82584,09-MAR-2020
NESCO,EQ,630.0,663.85,617.9,648.6,639.9,649.15,82957,06-MAR-2020
NESCO,EQ,652.8,667.0,640.0,649.15,652.0,648.2,55684,05-MAR-2020
NESCO,EQ,675.0,678.95,625.0,648.2,646.0,671.3,118841,04-MAR-2020
NESCO,EQ,692.35,709.9,657.8,671.3,671.0,692.75,65389,03-MAR-2020
NESCO,EQ,715.0,742.0,685.0,692.75,692.0,720.8,57351,02-MAR-2020
NESCO,EQ,700.05,739.75,680.0,720.8,731.0,711.2,89681,28-FEB-2020
NESCO,EQ,722.25,729.0,704.85,711.2,710.0,721.85,28745,27-FEB-2020
NESCO,EQ,728.4,734.0,713.0,721.85,719.0,728.4,31326,26-FEB-2020
NESCO,EQ,726.55,737.4,722.0,728.4,730.0,725.25,36411,25-FEB-2020
NESCO,EQ,724.0,746.0,711.25,725.25,732.0,726.5,69956,24-FEB-2020
NESCO,EQ,738.95,750.0,721.25,726.5,724.0,739.7,43659,20-FEB-2020
NESCO,EQ,745.0,750.2,735.0,739.7,736.1,741.45,46210,19-FEB-2020
NESCO,EQ,735.2,744.0,716.3,741.45,740.0,740.45,85052,18-FEB-2020
NESCO,EQ,753.0,753.9,738.5,740.45,739.0,747.8,34213,17-FEB-2020
NESCO,EQ,750.2,758.0,746.0,747.8,748.0,753.6,35932,14-FEB-2020
NESCO,EQ,760.0,768.35,751.0,753.6,753.95,757.35,42831,13-FEB-2020
NESCO,EQ,758.0,763.25,745.05,757.35,758.0,757.35,37183,12-FEB-2020
NESCO,EQ,771.0,777.4,754.0,757.35,757.0,765.9,41837,11-FEB-2020
NESCO,EQ,770.0,779.8,762.0,765.9,766.0,771.9,78657,10-FEB-2020
