SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NETWORK18,EQ,16.3,17.65,16.15,17.05,17.1,16.85,648600,20-MAR-2020
NETWORK18,EQ,16.85,17.7,16.85,16.85,16.85,17.7,514817,19-MAR-2020
NETWORK18,EQ,18.0,18.75,17.7,17.7,17.7,18.6,205905,18-MAR-2020
NETWORK18,EQ,19.0,19.9,18.55,18.6,18.55,19.5,303944,17-MAR-2020
NETWORK18,EQ,19.55,20.1,19.5,19.5,19.5,20.5,456958,16-MAR-2020
NETWORK18,EQ,20.5,22.0,20.5,20.5,20.5,21.55,725125,13-MAR-2020
NETWORK18,EQ,21.55,21.55,21.55,21.55,21.55,22.65,108961,12-MAR-2020
NETWORK18,EQ,22.65,23.45,22.3,22.65,22.75,23.45,533047,11-MAR-2020
NETWORK18,EQ,23.5,24.25,23.45,23.45,23.45,24.65,345091,09-MAR-2020
NETWORK18,EQ,25.0,25.0,24.5,24.65,24.5,25.75,786627,06-MAR-2020
NETWORK18,EQ,26.6,26.65,25.6,25.75,25.75,25.7,261048,05-MAR-2020
NETWORK18,EQ,26.95,26.95,25.25,25.7,25.9,26.3,233243,04-MAR-2020
NETWORK18,BE,26.65,27.65,25.45,26.3,26.05,26.75,351611,03-MAR-2020
NETWORK18,BE,27.0,28.25,26.05,26.75,26.6,27.2,265721,02-MAR-2020
NETWORK18,BE,27.25,28.0,27.15,27.2,27.15,28.55,444191,28-FEB-2020
NETWORK18,BE,29.25,29.25,28.25,28.55,28.4,29.15,234347,27-FEB-2020
NETWORK18,BE,28.75,29.8,28.05,29.15,29.0,28.95,411374,26-FEB-2020
NETWORK18,BE,29.0,29.3,28.5,28.95,28.8,29.45,475504,25-FEB-2020
NETWORK18,BE,30.45,30.45,29.1,29.45,29.65,30.55,638385,24-FEB-2020
NETWORK18,BE,31.05,32.0,30.1,30.55,30.8,31.65,1394200,20-FEB-2020
NETWORK18,BE,31.65,31.65,31.0,31.65,31.65,30.15,3305481,19-FEB-2020
NETWORK18,BE,30.15,30.15,30.15,30.15,30.15,28.75,99424,18-FEB-2020
NETWORK18,BE,28.0,29.7,28.0,28.75,28.7,28.8,196413,17-FEB-2020
NETWORK18,BE,30.1,30.7,28.6,28.8,29.0,30.1,566369,14-FEB-2020
NETWORK18,BE,31.25,31.25,29.25,30.1,30.25,30.25,184436,13-FEB-2020
NETWORK18,BE,30.95,31.5,29.5,30.25,31.0,30.95,558072,12-FEB-2020
NETWORK18,BE,30.35,31.25,28.35,30.95,31.0,29.8,1044348,11-FEB-2020
NETWORK18,BE,28.55,29.8,28.4,29.8,29.8,28.4,1419891,10-FEB-2020
