SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NFL,EQ,18.0,18.7,17.5,18.45,18.3,18.05,475392,20-MAR-2020
NFL,EQ,17.9,18.9,17.35,18.05,18.1,18.45,414793,19-MAR-2020
NFL,EQ,19.5,19.5,18.05,18.45,18.5,19.0,542506,18-MAR-2020
NFL,EQ,19.85,20.2,17.8,19.0,18.85,19.85,505772,17-MAR-2020
NFL,EQ,21.0,21.0,19.35,19.85,19.8,21.3,342976,16-MAR-2020
NFL,EQ,18.6,22.8,17.1,21.3,21.3,19.75,948692,13-MAR-2020
NFL,EQ,21.25,21.35,19.35,19.75,20.0,21.65,537471,12-MAR-2020
NFL,EQ,21.9,22.2,21.5,21.65,21.7,21.85,305874,11-MAR-2020
NFL,EQ,22.0,23.4,21.35,21.85,21.7,22.15,397128,09-MAR-2020
NFL,EQ,22.25,22.45,21.85,22.15,22.3,22.55,276077,06-MAR-2020
NFL,EQ,22.5,22.95,22.5,22.55,22.6,22.5,148111,05-MAR-2020
NFL,EQ,22.55,22.85,22.25,22.5,22.55,22.55,178302,04-MAR-2020
NFL,EQ,22.5,22.8,22.05,22.55,22.8,22.45,151855,03-MAR-2020
NFL,EQ,22.85,23.3,22.4,22.45,22.4,22.6,362180,02-MAR-2020
NFL,EQ,22.95,23.3,22.5,22.6,22.65,23.4,266882,28-FEB-2020
NFL,EQ,23.8,23.8,23.2,23.4,23.45,23.55,182234,27-FEB-2020
NFL,EQ,23.7,24.3,23.4,23.55,23.45,23.9,199808,26-FEB-2020
NFL,EQ,23.55,24.45,23.3,23.9,23.8,23.55,292289,25-FEB-2020
NFL,EQ,23.7,23.95,23.45,23.55,23.7,23.85,171181,24-FEB-2020
NFL,EQ,24.1,24.1,23.6,23.85,23.9,23.95,193921,20-FEB-2020
NFL,EQ,23.65,24.4,23.65,23.95,23.95,23.65,160333,19-FEB-2020
NFL,EQ,23.55,23.85,23.25,23.65,23.7,23.75,276985,18-FEB-2020
NFL,EQ,24.05,24.35,23.6,23.75,23.65,24.25,166286,17-FEB-2020
NFL,EQ,24.4,24.55,24.1,24.25,24.15,24.25,159067,14-FEB-2020
NFL,EQ,24.35,24.5,23.9,24.25,24.2,24.45,268106,13-FEB-2020
NFL,EQ,24.75,24.95,24.3,24.45,24.55,24.65,199939,12-FEB-2020
NFL,EQ,24.9,25.2,24.5,24.65,24.55,24.9,246617,11-FEB-2020
NFL,EQ,25.7,25.85,24.75,24.9,24.95,25.55,470582,10-FEB-2020
