SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NIBL,BE,6.35,6.4,6.35,6.35,6.35,6.35,1167,20-MAR-2020
NIBL,BE,6.0,6.35,6.0,6.35,6.35,6.05,4785,19-MAR-2020
NIBL,BE,6.05,6.3,6.05,6.05,6.25,6.35,24187,18-MAR-2020
NIBL,BE,6.4,6.7,6.3,6.35,6.3,6.4,4955,17-MAR-2020
NIBL,BE,6.6,6.6,6.4,6.4,6.4,6.3,4061,16-MAR-2020
NIBL,BE,6.3,6.5,6.3,6.3,6.3,6.3,3677,13-MAR-2020
NIBL,EQ,6.6,6.9,6.3,6.3,6.3,6.6,22128,12-MAR-2020
NIBL,EQ,6.6,6.6,6.6,6.6,6.6,6.3,3740,11-MAR-2020
NIBL,EQ,6.3,6.3,6.3,6.3,6.3,6.0,3337,09-MAR-2020
NIBL,EQ,5.95,6.0,5.95,6.0,6.0,5.75,15775,06-MAR-2020
NIBL,EQ,5.75,5.75,5.75,5.75,5.75,5.5,40661,05-MAR-2020
NIBL,EQ,5.5,5.5,5.5,5.5,5.5,5.25,676,04-MAR-2020
NIBL,EQ,4.8,5.25,4.8,5.25,5.25,5.0,566,03-MAR-2020
NIBL,EQ,5.0,5.0,4.85,5.0,5.0,4.8,5528,02-MAR-2020
NIBL,EQ,4.8,4.8,4.75,4.8,4.8,4.6,12788,28-FEB-2020
NIBL,EQ,4.3,4.6,4.3,4.6,4.6,4.4,45251,27-FEB-2020
NIBL,EQ,4.4,4.4,4.05,4.4,4.4,4.2,21970,26-FEB-2020
NIBL,EQ,4.1,4.2,4.1,4.2,4.2,4.0,89115,25-FEB-2020
NIBL,EQ,3.7,4.0,3.7,4.0,4.0,3.85,445006,24-FEB-2020
NIBL,EQ,3.85,4.05,3.85,3.85,3.85,4.05,15078,20-FEB-2020
NIBL,EQ,4.3,4.3,4.05,4.05,4.05,4.5,29742,19-FEB-2020
NIBL,EQ,4.7,4.7,4.3,4.5,4.5,4.55,677,18-FEB-2020
NIBL,EQ,4.6,4.6,4.4,4.55,4.55,4.6,5723,17-FEB-2020
NIBL,EQ,4.55,5.15,4.5,4.6,4.6,4.7,10663,14-FEB-2020
NIBL,EQ,4.65,5.0,4.65,4.7,4.7,4.9,583,13-FEB-2020
NIBL,EQ,5.15,5.15,4.65,4.9,4.9,5.15,8154,12-FEB-2020
NIBL,EQ,5.15,5.3,4.8,5.15,5.1,5.15,2173,11-FEB-2020
NIBL,EQ,5.15,5.4,4.7,5.15,5.15,5.15,5327,10-FEB-2020
