SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NIFTYBEES,EQ,99.88,99.88,88.0,92.97,93.03,89.47,5442580,20-MAR-2020
NIFTYBEES,EQ,94.5,94.5,87.0,89.47,89.7,96.08,9073962,19-MAR-2020
NIFTYBEES,EQ,100.9,102.8,92.2,96.08,97.0,99.2,6548737,18-MAR-2020
NIFTYBEES,EQ,102.55,105.0,97.25,99.2,102.0,102.37,4118915,17-MAR-2020
NIFTYBEES,EQ,107.49,107.49,100.0,102.37,103.99,106.36,5403923,16-MAR-2020
NIFTYBEES,EQ,91.26,120.85,91.26,106.36,107.0,102.99,8805655,13-MAR-2020
NIFTYBEES,EQ,110.0,110.0,101.05,102.99,105.45,111.31,10399708,12-MAR-2020
NIFTYBEES,EQ,111.49,112.5,110.2,111.31,111.25,111.62,3831171,11-MAR-2020
NIFTYBEES,EQ,116.49,116.49,109.74,111.62,112.0,117.18,8020071,09-MAR-2020
NIFTYBEES,EQ,118.49,118.49,115.6,117.18,117.38,119.75,3370046,06-MAR-2020
NIFTYBEES,EQ,142.95,142.95,118.6,119.75,119.82,119.52,513870,05-MAR-2020
NIFTYBEES,EQ,121.4,121.4,117.91,119.52,119.4,120.4,2300345,04-MAR-2020
NIFTYBEES,EQ,119.44,121.01,118.55,120.4,121.0,118.39,1810345,03-MAR-2020
NIFTYBEES,EQ,122.05,122.05,117.21,118.39,118.53,119.29,2355594,02-MAR-2020
NIFTYBEES,EQ,121.65,122.94,119.11,119.29,119.75,123.64,8148034,28-FEB-2020
NIFTYBEES,EQ,123.55,124.49,122.54,123.64,123.6,124.04,1863612,27-FEB-2020
NIFTYBEES,EQ,125.39,125.39,123.8,124.04,124.2,125.34,2733254,26-FEB-2020
NIFTYBEES,EQ,126.35,126.4,125.11,125.34,125.52,125.73,587395,25-FEB-2020
NIFTYBEES,EQ,128.41,128.41,125.5,125.73,125.89,128.36,3544077,24-FEB-2020
NIFTYBEES,EQ,128.55,128.8,128.0,128.36,128.43,128.59,354821,20-FEB-2020
NIFTYBEES,EQ,127.95,128.7,127.0,128.59,128.6,127.34,463260,19-FEB-2020
NIFTYBEES,EQ,126.95,128.5,126.55,127.34,127.4,127.84,569499,18-FEB-2020
NIFTYBEES,EQ,128.92,129.0,127.7,127.84,127.7,128.38,254024,17-FEB-2020
NIFTYBEES,EQ,129.54,129.69,128.09,128.38,128.3,129.3,435089,14-FEB-2020
NIFTYBEES,EQ,129.54,129.54,128.5,129.3,129.32,129.19,491397,13-FEB-2020
NIFTYBEES,EQ,128.85,129.35,128.6,129.19,129.05,128.3,244082,12-FEB-2020
NIFTYBEES,EQ,128.05,129.95,128.05,128.3,128.38,127.91,301763,11-FEB-2020
NIFTYBEES,EQ,129.85,129.85,127.31,127.91,127.92,128.19,371411,10-FEB-2020
