SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NIPPOBATRY,EQ,400.3,420.8,397.95,414.35,414.0,411.95,2761,20-MAR-2020
NIPPOBATRY,EQ,396.0,423.0,382.0,411.95,422.0,403.9,2889,19-MAR-2020
NIPPOBATRY,EQ,401.05,425.0,391.05,403.9,400.0,402.95,2369,18-MAR-2020
NIPPOBATRY,EQ,405.05,423.9,401.0,402.95,404.45,400.05,786,17-MAR-2020
NIPPOBATRY,EQ,421.0,424.7,390.1,400.05,401.0,433.4,1852,16-MAR-2020
NIPPOBATRY,EQ,395.0,442.4,376.0,433.4,435.0,417.35,4247,13-MAR-2020
NIPPOBATRY,EQ,486.95,486.95,414.0,417.35,414.0,486.8,4348,12-MAR-2020
NIPPOBATRY,EQ,471.05,490.0,464.15,486.8,490.0,471.6,2475,11-MAR-2020
NIPPOBATRY,EQ,491.05,491.05,465.0,471.6,465.25,494.5,2263,09-MAR-2020
NIPPOBATRY,EQ,487.0,508.45,478.3,494.5,496.95,506.25,4246,06-MAR-2020
NIPPOBATRY,EQ,511.3,522.45,495.05,506.25,505.05,517.75,5532,05-MAR-2020
NIPPOBATRY,EQ,542.95,542.95,508.8,517.75,522.0,538.6,945,04-MAR-2020
NIPPOBATRY,EQ,520.05,540.0,497.0,538.6,537.9,518.9,3662,03-MAR-2020
NIPPOBATRY,EQ,553.1,555.0,506.0,518.9,512.0,516.95,1156,02-MAR-2020
NIPPOBATRY,EQ,530.15,530.15,506.5,516.95,514.0,543.1,3178,28-FEB-2020
NIPPOBATRY,EQ,563.0,563.0,528.8,543.1,547.25,551.1,2019,27-FEB-2020
NIPPOBATRY,EQ,553.7,567.8,545.0,551.1,563.5,561.2,2017,26-FEB-2020
NIPPOBATRY,EQ,545.15,580.0,542.0,561.2,562.95,548.7,4597,25-FEB-2020
NIPPOBATRY,EQ,585.0,590.0,545.05,548.7,550.0,572.55,5566,24-FEB-2020
NIPPOBATRY,EQ,567.0,585.0,550.15,572.55,585.0,562.15,6178,20-FEB-2020
NIPPOBATRY,EQ,564.8,586.6,551.2,562.15,560.0,557.55,5750,19-FEB-2020
NIPPOBATRY,EQ,572.25,575.0,549.05,557.55,556.0,570.0,3982,18-FEB-2020
NIPPOBATRY,EQ,578.0,584.0,564.95,570.0,572.6,573.4,11495,17-FEB-2020
NIPPOBATRY,EQ,638.0,648.8,561.25,573.4,565.0,627.1,63569,14-FEB-2020
NIPPOBATRY,EQ,513.75,627.1,508.6,627.1,627.1,522.6,91857,13-FEB-2020
NIPPOBATRY,EQ,538.05,544.0,512.3,522.6,526.0,533.9,1362,12-FEB-2020
NIPPOBATRY,EQ,514.0,545.0,511.2,533.9,539.9,511.5,3201,11-FEB-2020
NIPPOBATRY,EQ,520.0,520.0,508.0,511.5,508.0,510.9,2062,10-FEB-2020
