SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NKIND,EQ,11.2,11.2,11.2,11.2,11.2,11.2,104,19-MAR-2020
NKIND,EQ,11.2,11.2,11.2,11.2,11.2,11.55,1,18-MAR-2020
NKIND,EQ,10.45,11.55,10.45,11.55,11.55,11.0,3,16-MAR-2020
NKIND,EQ,11.0,11.0,11.0,11.0,11.0,11.5,1310,13-MAR-2020
NKIND,EQ,11.5,11.5,11.0,11.5,11.5,11.5,1076,12-MAR-2020
NKIND,EQ,11.5,11.5,11.5,11.5,11.5,11.5,100,11-MAR-2020
NKIND,EQ,11.45,11.5,11.4,11.5,11.5,12.0,625,06-MAR-2020
NKIND,EQ,12.1,12.1,11.6,12.0,11.6,12.15,613,05-MAR-2020
NKIND,EQ,12.3,12.3,12.15,12.15,12.15,12.65,200,03-MAR-2020
NKIND,EQ,12.65,12.65,12.65,12.65,12.65,12.65,29,28-FEB-2020
NKIND,EQ,13.25,13.25,12.65,12.65,12.65,13.25,102,27-FEB-2020
NKIND,EQ,13.0,13.25,13.0,13.25,13.25,13.2,150,26-FEB-2020
NKIND,EQ,13.25,14.5,13.2,13.2,13.2,13.85,604,25-FEB-2020
NKIND,EQ,14.0,14.0,13.85,13.85,13.85,14.5,200,24-FEB-2020
NKIND,EQ,14.4,14.5,14.4,14.5,14.5,15.1,300,19-FEB-2020
NKIND,EQ,15.1,15.1,15.1,15.1,15.1,15.1,100,18-FEB-2020
NKIND,EQ,15.1,15.1,14.4,15.1,15.1,15.1,205,17-FEB-2020
NKIND,EQ,16.55,16.55,15.1,15.1,15.1,15.85,1466,14-FEB-2020
NKIND,EQ,17.35,17.35,15.8,15.85,15.85,16.55,258,13-FEB-2020
NKIND,EQ,16.55,16.55,16.55,16.55,16.55,15.8,1688,12-FEB-2020
NKIND,EQ,15.8,15.8,15.8,15.8,15.8,15.05,1188,11-FEB-2020
NKIND,EQ,15.05,15.05,15.05,15.05,15.05,14.65,11,10-FEB-2020
