SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NTPC,EQ,78.5,82.35,76.35,81.25,80.95,78.35,58502396,20-MAR-2020
NTPC,N6,1287.0,1290.01,1280.0,1282.75,1284.9,1288.84,6887,20-MAR-2020
NTPC,N7,13.0,13.07,12.9,13.04,13.04,12.95,341469,20-MAR-2020
NTPC,NB,1090.22,1094.1,1090.22,1094.1,1094.1,1080.3,53,20-MAR-2020
NTPC,ND,1219.0,1225.0,1205.1,1206.09,1206.09,1219.0,2354,20-MAR-2020
NTPC,EQ,78.55,84.95,75.05,78.35,77.9,80.55,33847230,19-MAR-2020
NTPC,N4,1091.1,1119.4,1091.0,1109.99,1109.99,1146.0,2018,19-MAR-2020
NTPC,N5,1186.0,1186.0,1186.0,1186.0,1186.0,1225.0,300,19-MAR-2020
NTPC,N6,1287.0,1297.0,1280.0,1288.84,1287.15,1293.0,2404,19-MAR-2020
NTPC,N7,13.01,13.15,12.9,12.95,12.95,13.06,183949,19-MAR-2020
NTPC,NB,1080.3,1080.3,1080.3,1080.3,1080.3,1109.1,31,19-MAR-2020
NTPC,ND,1200.0,1219.0,1200.0,1219.0,1219.0,1215.0,1649,19-MAR-2020
NTPC,EQ,89.0,90.35,74.9,80.55,82.15,88.1,88659790,18-MAR-2020
NTPC,N5,1161.02,1225.0,1161.02,1225.0,1225.0,1234.99,35,18-MAR-2020
NTPC,N6,1313.3,1313.3,1282.0,1293.0,1300.0,1310.09,1852,18-MAR-2020
NTPC,N7,13.06,13.1,13.02,13.06,13.04,13.06,212938,18-MAR-2020
NTPC,NB,1080.82,1109.1,1080.82,1109.1,1109.1,1100.0,270,18-MAR-2020
NTPC,NC,1115.07,1135.01,1115.07,1135.01,1135.01,1175.0,38,18-MAR-2020
NTPC,ND,1210.0,1215.0,1210.0,1215.0,1215.0,1210.02,229,18-MAR-2020
NTPC,EQ,91.0,95.9,86.35,88.1,88.05,90.8,21246111,17-MAR-2020
NTPC,N6,1307.01,1325.0,1307.01,1310.09,1310.0,1329.0,825,17-MAR-2020
NTPC,N7,13.11,13.25,13.05,13.06,13.05,13.1,116283,17-MAR-2020
NTPC,ND,1225.0,1300.0,1190.0,1210.02,1210.02,1227.35,812,17-MAR-2020
NTPC,EQ,96.0,96.0,88.25,90.8,91.9,98.05,34649741,16-MAR-2020
NTPC,N1,1156.0,1156.0,1140.0,1140.0,1140.0,1140.0,35,16-MAR-2020
NTPC,N4,1146.0,1146.0,1146.0,1146.0,1146.0,1135.0,90,16-MAR-2020
NTPC,N5,1251.0,1251.0,1225.0,1234.99,1234.99,1236.0,80,16-MAR-2020
NTPC,N6,1340.0,1340.0,1329.0,1329.0,1329.0,1316.81,25,16-MAR-2020
NTPC,N7,13.3,13.3,13.01,13.1,13.1,13.1,554207,16-MAR-2020
NTPC,NB,1100.0,1100.1,1100.0,1100.0,1100.0,1104.0,113,16-MAR-2020
NTPC,ND,1202.02,1234.5,1202.02,1227.35,1225.0,1220.0,1241,16-MAR-2020
NTPC,EQ,90.0,100.75,81.25,98.05,99.5,94.35,49533058,13-MAR-2020
NTPC,N1,921.0,1140.0,921.0,1140.0,1140.0,1098.42,61,13-MAR-2020
NTPC,N4,1139.0,1139.0,1135.0,1135.0,1135.0,1139.0,28,13-MAR-2020
NTPC,N6,1319.25,1320.0,1315.15,1316.81,1319.0,1321.0,531,13-MAR-2020
NTPC,N7,13.01,13.1,12.71,13.1,13.1,13.12,117643,13-MAR-2020
NTPC,ND,1219.0,1220.0,1219.0,1220.0,1220.0,1220.0,225,13-MAR-2020
NTPC,EQ,99.0,100.0,93.25,94.35,94.5,103.05,47225243,12-MAR-2020
NTPC,N4,1139.0,1139.0,1139.0,1139.0,1139.0,1195.71,150,12-MAR-2020
NTPC,N6,1322.26,1335.0,1320.0,1321.0,1321.0,1341.44,1694,12-MAR-2020
NTPC,N7,13.1,13.2,13.0,13.12,13.13,13.14,44339,12-MAR-2020
NTPC,NB,1100.0,1114.0,1095.0,1104.0,1104.0,1100.09,174,12-MAR-2020
NTPC,ND,1220.0,1220.0,1205.0,1220.0,1220.0,1220.0,1475,12-MAR-2020
NTPC,EQ,103.0,104.8,101.5,103.05,102.7,102.9,28434592,11-MAR-2020
NTPC,N6,1335.0,1350.0,1330.5,1341.44,1342.1,1325.05,1638,11-MAR-2020
NTPC,N7,11.4,14.0,11.4,13.14,13.2,13.14,33725,11-MAR-2020
NTPC,NB,1100.09,1100.09,1100.09,1100.09,1100.09,1114.0,2,11-MAR-2020
NTPC,ND,1220.0,1220.0,1220.0,1220.0,1220.0,1250.0,78,11-MAR-2020
NTPC,EQ,104.0,104.4,99.55,102.9,103.75,105.15,47383260,09-MAR-2020
NTPC,N1,1170.0,1170.0,1078.1,1098.42,1078.1,1152.0,208,09-MAR-2020
NTPC,N4,1201.0,1210.55,1183.0,1195.71,1193.0,1172.55,285,09-MAR-2020
