SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
NUCLEUS,EQ,208.15,212.4,200.1,202.75,204.0,202.15,39732,20-MAR-2020
NUCLEUS,EQ,208.3,212.9,199.9,202.15,202.95,208.25,13876,19-MAR-2020
NUCLEUS,EQ,231.0,242.25,202.0,208.25,212.0,229.85,44764,18-MAR-2020
NUCLEUS,EQ,253.9,253.9,213.55,229.85,226.65,252.7,30872,17-MAR-2020
NUCLEUS,EQ,236.65,263.3,225.05,252.7,252.0,236.65,31608,16-MAR-2020
NUCLEUS,EQ,241.0,291.0,230.0,236.65,236.0,243.1,13628,13-MAR-2020
NUCLEUS,EQ,266.85,266.85,238.0,243.1,241.05,266.85,17933,12-MAR-2020
NUCLEUS,EQ,270.1,272.95,264.65,266.85,269.8,268.85,6011,11-MAR-2020
NUCLEUS,EQ,274.45,275.0,260.0,268.85,271.0,275.8,10005,09-MAR-2020
NUCLEUS,EQ,285.0,285.0,274.5,275.8,276.0,285.85,6927,06-MAR-2020
NUCLEUS,EQ,291.1,294.8,282.85,285.85,285.0,282.8,4244,05-MAR-2020
NUCLEUS,EQ,290.05,291.9,282.0,282.8,285.3,289.15,4316,04-MAR-2020
NUCLEUS,EQ,294.75,294.75,287.0,289.15,290.0,290.1,6321,03-MAR-2020
NUCLEUS,EQ,295.0,299.4,288.0,290.1,292.9,294.0,15562,02-MAR-2020
NUCLEUS,EQ,300.0,300.0,288.35,294.0,294.25,300.0,16821,28-FEB-2020
NUCLEUS,EQ,297.25,302.8,295.0,300.0,300.0,300.05,9614,27-FEB-2020
NUCLEUS,EQ,305.5,306.4,298.5,300.05,302.0,305.45,4940,26-FEB-2020
NUCLEUS,EQ,306.0,310.15,300.55,305.45,304.8,305.65,11569,25-FEB-2020
NUCLEUS,EQ,300.35,310.0,300.0,305.65,307.85,300.35,14324,24-FEB-2020
NUCLEUS,EQ,300.0,306.0,296.25,300.35,299.5,302.95,13915,20-FEB-2020
NUCLEUS,EQ,301.0,304.0,298.45,302.95,304.0,300.85,19365,19-FEB-2020
NUCLEUS,EQ,306.9,306.9,292.35,300.85,302.95,303.25,8993,18-FEB-2020
NUCLEUS,EQ,301.0,306.95,297.6,303.25,301.5,300.55,10772,17-FEB-2020
NUCLEUS,EQ,302.9,304.95,300.0,300.55,300.0,301.35,3786,14-FEB-2020
NUCLEUS,EQ,305.5,308.0,301.0,301.35,301.5,305.5,9608,13-FEB-2020
NUCLEUS,EQ,298.9,308.0,297.65,305.5,304.55,296.7,21617,12-FEB-2020
NUCLEUS,EQ,302.95,303.8,296.05,296.7,297.2,298.15,4714,11-FEB-2020
NUCLEUS,EQ,305.0,307.95,296.4,298.15,296.4,305.0,3689,10-FEB-2020
