SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
OISL,EQ,1.95,1.95,1.75,1.75,1.75,1.9,18109,20-MAR-2020
OISL,EQ,1.75,1.95,1.75,1.9,1.9,1.9,68090,19-MAR-2020
OISL,EQ,1.9,1.95,1.75,1.9,1.9,1.85,31824,18-MAR-2020
OISL,EQ,1.8,1.9,1.75,1.85,1.9,1.9,132048,17-MAR-2020
OISL,EQ,2.2,2.2,1.85,1.9,1.95,2.05,165524,16-MAR-2020
OISL,EQ,2.1,2.15,2.05,2.05,2.05,2.25,31279,13-MAR-2020
OISL,EQ,2.25,2.25,2.05,2.25,2.25,2.25,63715,12-MAR-2020
OISL,EQ,2.4,2.4,2.05,2.25,2.2,2.25,27184,11-MAR-2020
OISL,EQ,2.25,2.25,2.05,2.25,2.25,2.25,17543,09-MAR-2020
OISL,EQ,2.35,2.35,2.2,2.25,2.2,2.4,14675,06-MAR-2020
OISL,EQ,2.15,2.55,2.15,2.4,2.4,2.35,30180,05-MAR-2020
OISL,EQ,2.25,2.5,2.25,2.35,2.35,2.5,68296,04-MAR-2020
OISL,EQ,2.45,2.5,2.25,2.5,2.5,2.5,30498,03-MAR-2020
OISL,EQ,2.25,2.55,2.25,2.5,2.5,2.5,138989,02-MAR-2020
OISL,EQ,2.55,2.55,2.3,2.5,2.5,2.55,4080,28-FEB-2020
OISL,EQ,2.55,2.7,2.55,2.55,2.55,2.65,233186,27-FEB-2020
OISL,EQ,2.5,2.65,2.45,2.65,2.6,2.7,4608,26-FEB-2020
OISL,EQ,2.5,2.7,2.5,2.7,2.7,2.7,12520,25-FEB-2020
OISL,EQ,2.9,2.9,2.55,2.7,2.7,2.65,9316,24-FEB-2020
OISL,EQ,2.7,2.7,2.55,2.65,2.65,2.65,4887,20-FEB-2020
OISL,EQ,2.55,2.85,2.4,2.65,2.7,2.6,13441,19-FEB-2020
OISL,EQ,2.7,2.7,2.6,2.6,2.6,2.7,1834,18-FEB-2020
OISL,EQ,2.65,2.9,2.55,2.7,2.7,2.65,11972,17-FEB-2020
OISL,EQ,2.45,2.7,2.45,2.65,2.65,2.55,11326,14-FEB-2020
OISL,EQ,2.7,2.7,2.55,2.55,2.55,2.55,8334,13-FEB-2020
OISL,EQ,2.65,2.7,2.45,2.55,2.55,2.65,1422,12-FEB-2020
OISL,EQ,2.8,2.8,2.4,2.65,2.6,2.6,16616,11-FEB-2020
OISL,EQ,2.55,2.9,2.55,2.6,2.65,2.75,15691,10-FEB-2020
