SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
OLECTRA,EQ,53.5,58.9,53.4,53.4,53.4,56.2,90515,20-MAR-2020
OLECTRA,EQ,56.2,56.2,56.2,56.2,56.2,59.15,30484,19-MAR-2020
OLECTRA,EQ,60.0,62.95,59.15,59.15,59.15,62.25,31476,18-MAR-2020
OLECTRA,EQ,70.4,72.7,61.05,62.25,61.05,67.8,185921,17-MAR-2020
OLECTRA,EQ,70.3,73.95,66.85,67.8,67.95,74.25,139538,16-MAR-2020
OLECTRA,EQ,70.5,85.85,70.5,74.25,74.55,78.3,198284,13-MAR-2020
OLECTRA,EQ,82.0,82.0,78.3,78.3,78.3,87.0,86093,12-MAR-2020
OLECTRA,EQ,88.0,92.6,85.5,87.0,87.45,89.6,757765,11-MAR-2020
OLECTRA,EQ,94.0,94.55,87.35,89.6,91.8,97.6,84651,09-MAR-2020
OLECTRA,EQ,98.05,102.0,93.15,97.6,97.0,104.3,76541,06-MAR-2020
OLECTRA,EQ,107.0,108.15,103.0,104.3,104.4,104.25,54373,05-MAR-2020
OLECTRA,EQ,108.2,113.7,102.2,104.25,103.5,109.45,65638,04-MAR-2020
OLECTRA,EQ,112.0,115.1,107.0,109.45,110.6,110.8,90590,03-MAR-2020
OLECTRA,EQ,119.5,124.4,108.95,110.8,108.95,117.6,73164,02-MAR-2020
OLECTRA,EQ,122.0,123.55,112.5,117.6,117.5,126.2,130936,28-FEB-2020
OLECTRA,EQ,125.1,129.7,122.1,126.2,125.1,127.6,105417,27-FEB-2020
OLECTRA,EQ,137.0,138.0,123.05,127.6,128.0,137.75,174990,26-FEB-2020
OLECTRA,EQ,142.0,142.0,132.7,137.75,139.0,141.2,94114,25-FEB-2020
OLECTRA,EQ,148.05,148.05,140.4,141.2,142.65,148.05,61352,24-FEB-2020
OLECTRA,EQ,149.95,150.0,147.0,148.05,147.3,148.45,28525,20-FEB-2020
OLECTRA,EQ,154.8,154.8,147.3,148.45,147.5,152.2,78017,19-FEB-2020
OLECTRA,EQ,155.0,155.65,151.0,152.2,152.55,153.1,50779,18-FEB-2020
OLECTRA,EQ,157.5,159.05,150.45,153.1,155.9,156.95,55614,17-FEB-2020
OLECTRA,EQ,159.65,162.9,156.15,156.95,157.0,159.65,21935,14-FEB-2020
OLECTRA,EQ,163.8,163.9,158.0,159.65,159.5,161.15,16184,13-FEB-2020
OLECTRA,EQ,165.4,166.8,160.7,161.15,160.7,161.15,49654,12-FEB-2020
OLECTRA,EQ,162.5,164.45,157.3,161.15,161.1,161.85,57350,11-FEB-2020
OLECTRA,EQ,166.45,166.45,161.0,161.85,161.05,163.25,33070,10-FEB-2020
