SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ONMOBILE,EQ,14.9,15.4,13.75,14.9,15.0,15.3,328976,20-MAR-2020
ONMOBILE,EQ,17.65,17.9,14.4,15.3,14.4,17.95,125188,19-MAR-2020
ONMOBILE,EQ,19.1,19.1,17.35,17.95,18.0,19.15,1125740,18-MAR-2020
ONMOBILE,EQ,19.6,19.6,18.2,19.15,19.0,18.65,76558,17-MAR-2020
ONMOBILE,EQ,18.95,19.9,17.25,18.65,18.0,17.8,731373,16-MAR-2020
ONMOBILE,EQ,13.7,18.2,12.95,17.8,18.0,16.15,271687,13-MAR-2020
ONMOBILE,EQ,17.4,18.5,15.35,16.15,15.35,19.15,240593,12-MAR-2020
ONMOBILE,EQ,19.7,20.45,19.0,19.15,19.0,19.0,95680,11-MAR-2020
ONMOBILE,EQ,21.65,22.0,18.45,19.0,19.15,22.7,323487,09-MAR-2020
ONMOBILE,EQ,23.45,23.45,22.5,22.7,22.75,23.95,44658,06-MAR-2020
ONMOBILE,EQ,23.9,24.6,23.05,23.95,24.1,23.55,29261,05-MAR-2020
ONMOBILE,EQ,24.3,24.5,23.3,23.55,23.55,23.95,26805,04-MAR-2020
ONMOBILE,EQ,23.6,24.1,23.6,23.95,24.0,23.45,39795,03-MAR-2020
ONMOBILE,EQ,23.35,24.3,23.25,23.45,23.25,23.05,39377,02-MAR-2020
ONMOBILE,EQ,24.95,24.95,23.0,23.05,23.0,25.25,137888,28-FEB-2020
ONMOBILE,EQ,26.05,26.05,25.05,25.25,25.15,26.05,35459,27-FEB-2020
ONMOBILE,EQ,26.7,26.7,25.95,26.05,25.95,26.45,24393,26-FEB-2020
ONMOBILE,EQ,26.45,26.8,26.05,26.45,26.35,26.05,26174,25-FEB-2020
ONMOBILE,EQ,27.0,27.4,25.8,26.05,26.2,27.25,61960,24-FEB-2020
ONMOBILE,EQ,27.0,27.75,26.5,27.25,27.45,26.85,555959,20-FEB-2020
ONMOBILE,EQ,26.55,27.0,26.25,26.85,27.0,26.65,283913,19-FEB-2020
ONMOBILE,EQ,27.4,27.4,26.2,26.65,26.75,27.25,573051,18-FEB-2020
ONMOBILE,EQ,28.65,29.1,27.05,27.25,27.05,28.35,607250,17-FEB-2020
ONMOBILE,EQ,28.0,28.75,27.75,28.35,28.2,28.1,579407,14-FEB-2020
ONMOBILE,EQ,28.05,28.45,27.75,28.1,28.45,28.2,405184,13-FEB-2020
ONMOBILE,EQ,28.95,28.95,28.1,28.2,28.15,28.5,545803,12-FEB-2020
ONMOBILE,EQ,29.0,29.0,28.25,28.5,28.45,28.9,552729,11-FEB-2020
ONMOBILE,EQ,28.5,29.2,28.1,28.9,28.75,28.65,51534,10-FEB-2020
