SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ORIENTPPR,EQ,14.25,15.0,13.8,14.2,14.5,13.9,504700,20-MAR-2020
ORIENTPPR,EQ,12.55,14.75,12.55,13.9,13.7,13.75,440385,19-MAR-2020
ORIENTPPR,EQ,15.15,16.8,13.25,13.75,13.75,15.3,595391,18-MAR-2020
ORIENTPPR,EQ,15.05,15.6,14.6,15.3,15.5,14.85,304076,17-MAR-2020
ORIENTPPR,EQ,16.5,16.5,14.5,14.85,14.85,16.1,332494,16-MAR-2020
ORIENTPPR,EQ,13.2,16.7,12.25,16.1,16.0,15.2,578194,13-MAR-2020
ORIENTPPR,EQ,16.3,16.3,15.0,15.2,15.4,16.7,620472,12-MAR-2020
ORIENTPPR,EQ,17.0,17.45,16.65,16.7,16.7,17.35,599938,11-MAR-2020
ORIENTPPR,EQ,18.35,18.35,17.2,17.35,17.2,18.65,606630,09-MAR-2020
ORIENTPPR,EQ,19.6,19.6,17.65,18.65,18.65,20.1,531945,06-MAR-2020
ORIENTPPR,EQ,20.9,20.9,19.6,20.1,19.95,20.05,332843,05-MAR-2020
ORIENTPPR,EQ,20.85,20.85,19.6,20.05,20.15,20.35,261362,04-MAR-2020
ORIENTPPR,EQ,20.45,20.7,19.6,20.35,20.4,20.05,374091,03-MAR-2020
ORIENTPPR,EQ,21.1,21.7,19.6,20.05,19.95,20.95,357363,02-MAR-2020
ORIENTPPR,EQ,21.5,21.55,20.05,20.95,21.1,21.95,444773,28-FEB-2020
ORIENTPPR,EQ,22.0,22.15,21.75,21.95,21.95,22.1,146738,27-FEB-2020
ORIENTPPR,EQ,22.25,22.5,22.0,22.1,22.15,22.5,155145,26-FEB-2020
ORIENTPPR,EQ,22.45,22.75,22.1,22.5,22.5,22.25,296254,25-FEB-2020
ORIENTPPR,EQ,23.6,23.6,21.55,22.25,22.3,23.5,476071,24-FEB-2020
ORIENTPPR,EQ,24.5,24.5,23.5,23.5,23.6,23.8,447780,20-FEB-2020
ORIENTPPR,EQ,22.4,24.1,22.15,23.8,24.0,22.1,662985,19-FEB-2020
ORIENTPPR,EQ,22.75,22.75,21.75,22.1,22.15,22.6,390199,18-FEB-2020
ORIENTPPR,EQ,23.0,23.35,22.55,22.6,22.7,23.1,241644,17-FEB-2020
ORIENTPPR,EQ,24.5,24.5,22.9,23.1,23.1,24.4,457812,14-FEB-2020
ORIENTPPR,EQ,22.9,24.7,22.65,24.4,24.55,22.95,1237098,13-FEB-2020
ORIENTPPR,EQ,23.3,23.3,22.7,22.95,22.9,23.3,604229,12-FEB-2020
ORIENTPPR,EQ,23.65,23.9,23.05,23.3,23.05,23.65,231402,11-FEB-2020
ORIENTPPR,EQ,24.1,24.1,23.55,23.65,23.65,24.1,209622,10-FEB-2020
