SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ORIENTREF,EQ,154.0,154.2,146.2,149.45,149.8,156.65,39094,20-MAR-2020
ORIENTREF,EQ,160.0,162.7,155.0,156.65,156.0,161.2,59464,19-MAR-2020
ORIENTREF,EQ,175.95,182.45,160.05,161.2,160.05,164.5,109051,18-MAR-2020
ORIENTREF,EQ,161.45,179.4,156.8,164.5,164.0,157.8,26659,17-MAR-2020
ORIENTREF,EQ,164.7,164.7,155.0,157.8,159.6,161.0,31636,16-MAR-2020
ORIENTREF,EQ,155.75,164.9,143.05,161.0,161.0,161.25,75405,13-MAR-2020
ORIENTREF,EQ,162.0,174.2,160.0,161.25,160.05,181.15,71272,12-MAR-2020
ORIENTREF,EQ,176.0,184.0,176.0,181.15,180.0,182.8,19114,11-MAR-2020
ORIENTREF,EQ,190.2,194.95,175.0,182.8,182.0,201.1,105208,09-MAR-2020
ORIENTREF,EQ,210.0,210.0,189.15,201.1,202.9,222.4,629267,06-MAR-2020
ORIENTREF,EQ,229.5,229.5,222.0,222.4,222.0,227.05,27926,05-MAR-2020
ORIENTREF,EQ,232.85,232.85,223.8,227.05,227.0,229.55,600853,04-MAR-2020
ORIENTREF,EQ,225.1,231.0,218.6,229.55,229.0,225.1,749026,03-MAR-2020
ORIENTREF,EQ,230.0,231.85,222.0,225.1,225.0,228.1,161857,02-MAR-2020
ORIENTREF,EQ,222.2,229.8,218.9,228.1,227.5,224.8,60815,28-FEB-2020
ORIENTREF,EQ,227.2,227.2,221.55,224.8,223.1,227.2,12134,27-FEB-2020
ORIENTREF,EQ,223.15,228.6,220.55,227.2,228.0,221.9,20960,26-FEB-2020
ORIENTREF,EQ,226.5,228.9,220.05,221.9,223.0,226.45,36960,25-FEB-2020
ORIENTREF,EQ,222.15,236.95,220.75,226.45,225.0,222.15,133715,24-FEB-2020
ORIENTREF,EQ,222.9,227.95,216.25,222.15,224.9,222.1,83664,20-FEB-2020
ORIENTREF,EQ,232.35,240.3,220.0,222.1,222.3,236.35,70267,19-FEB-2020
ORIENTREF,EQ,242.0,242.0,233.0,236.35,236.5,243.45,44082,18-FEB-2020
ORIENTREF,EQ,247.05,247.05,241.65,243.45,242.95,247.05,84030,17-FEB-2020
ORIENTREF,EQ,247.1,250.5,245.0,247.05,247.9,247.85,21767,14-FEB-2020
ORIENTREF,EQ,253.9,253.9,244.8,247.85,249.9,247.4,22480,13-FEB-2020
ORIENTREF,EQ,253.15,253.2,238.95,247.4,246.3,259.2,137126,12-FEB-2020
ORIENTREF,EQ,254.9,268.55,252.0,259.2,257.0,252.9,668021,11-FEB-2020
ORIENTREF,EQ,254.0,254.4,251.0,252.9,252.0,253.85,15831,10-FEB-2020
