SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
ORTINLABSS,EQ,6.85,7.95,6.85,7.6,7.5,7.45,30525,20-MAR-2020
ORTINLABSS,EQ,7.0,7.9,7.0,7.45,7.45,7.7,6011,19-MAR-2020
ORTINLABSS,EQ,7.2,7.9,7.0,7.7,7.75,7.2,47455,18-MAR-2020
ORTINLABSS,EQ,7.95,7.95,7.0,7.2,7.2,7.65,32020,17-MAR-2020
ORTINLABSS,EQ,8.8,8.8,7.25,7.65,7.45,8.0,33077,16-MAR-2020
ORTINLABSS,EQ,7.75,8.25,7.0,8.0,8.0,7.75,19807,13-MAR-2020
ORTINLABSS,EQ,7.4,7.9,7.1,7.75,7.8,7.6,19068,12-MAR-2020
ORTINLABSS,EQ,8.0,8.0,7.55,7.6,7.95,8.15,7599,11-MAR-2020
ORTINLABSS,EQ,7.4,8.3,7.4,8.15,8.25,8.05,22451,09-MAR-2020
ORTINLABSS,EQ,7.45,9.0,7.45,8.05,8.0,8.25,27565,06-MAR-2020
ORTINLABSS,EQ,8.0,8.6,7.4,8.25,8.45,8.0,17356,05-MAR-2020
ORTINLABSS,EQ,8.0,9.0,7.85,8.0,8.0,8.25,24319,04-MAR-2020
ORTINLABSS,EQ,8.65,8.8,8.05,8.25,8.25,8.6,14833,03-MAR-2020
ORTINLABSS,EQ,8.5,9.0,8.45,8.6,8.75,8.45,18442,02-MAR-2020
ORTINLABSS,EQ,8.85,8.85,8.0,8.45,8.75,8.85,37737,28-FEB-2020
ORTINLABSS,EQ,9.2,9.25,8.6,8.85,8.6,9.2,7107,27-FEB-2020
ORTINLABSS,EQ,8.55,9.2,8.0,9.2,9.2,8.4,40862,26-FEB-2020
ORTINLABSS,EQ,7.95,8.7,7.8,8.4,8.5,8.15,15489,25-FEB-2020
ORTINLABSS,EQ,8.2,8.35,8.1,8.15,8.1,8.4,6084,24-FEB-2020
ORTINLABSS,EQ,8.2,8.45,8.0,8.4,8.4,8.4,38533,20-FEB-2020
ORTINLABSS,EQ,8.8,8.8,8.0,8.4,8.3,8.15,7706,19-FEB-2020
ORTINLABSS,EQ,8.5,8.5,8.1,8.15,8.3,8.15,6912,18-FEB-2020
ORTINLABSS,EQ,8.45,8.45,8.05,8.15,8.15,8.45,10443,17-FEB-2020
ORTINLABSS,EQ,8.3,8.9,8.1,8.45,8.45,8.4,10080,14-FEB-2020
ORTINLABSS,EQ,8.2,8.6,8.0,8.4,8.45,8.5,4791,13-FEB-2020
ORTINLABSS,EQ,9.0,9.0,8.4,8.5,8.5,8.7,4710,12-FEB-2020
ORTINLABSS,EQ,9.0,9.0,8.2,8.7,8.75,8.5,5756,11-FEB-2020
ORTINLABSS,EQ,8.85,8.85,8.35,8.5,8.4,8.7,6126,10-FEB-2020
