SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
OSWALAGRO,EQ,3.85,4.45,3.85,4.15,4.15,4.05,72811,20-MAR-2020
OSWALAGRO,EQ,3.8,4.45,3.8,4.05,4.05,4.25,70511,19-MAR-2020
OSWALAGRO,EQ,4.55,4.9,4.15,4.25,4.15,4.65,41984,18-MAR-2020
OSWALAGRO,EQ,4.65,5.75,4.4,4.65,4.7,4.8,45064,17-MAR-2020
OSWALAGRO,EQ,5.2,5.2,4.5,4.8,4.8,4.95,29327,16-MAR-2020
OSWALAGRO,EQ,4.4,5.15,3.55,4.95,5.0,4.4,49066,13-MAR-2020
OSWALAGRO,EQ,4.6,5.45,4.4,4.4,4.4,5.45,150215,12-MAR-2020
OSWALAGRO,EQ,4.95,5.55,4.95,5.45,5.55,4.95,17899,11-MAR-2020
OSWALAGRO,EQ,5.6,5.6,4.85,4.95,5.0,5.65,29002,09-MAR-2020
OSWALAGRO,EQ,5.4,5.85,5.0,5.65,5.7,5.55,20519,06-MAR-2020
OSWALAGRO,EQ,5.5,5.75,5.25,5.55,5.5,5.6,18952,05-MAR-2020
OSWALAGRO,EQ,5.7,5.95,5.5,5.6,5.5,5.8,9007,04-MAR-2020
OSWALAGRO,EQ,5.7,5.95,5.5,5.8,5.95,5.8,6121,03-MAR-2020
OSWALAGRO,EQ,5.8,6.0,5.6,5.8,5.75,5.8,5463,02-MAR-2020
OSWALAGRO,EQ,6.3,6.3,5.4,5.8,5.75,6.15,12273,28-FEB-2020
OSWALAGRO,EQ,6.05,6.2,6.0,6.15,6.05,6.2,2689,27-FEB-2020
OSWALAGRO,EQ,6.2,6.25,6.0,6.2,6.25,6.25,16497,26-FEB-2020
OSWALAGRO,EQ,6.3,6.3,6.1,6.25,6.25,6.35,9694,25-FEB-2020
OSWALAGRO,EQ,6.5,6.5,6.2,6.35,6.4,6.55,19919,24-FEB-2020
OSWALAGRO,EQ,6.8,6.95,6.4,6.55,6.4,6.75,34056,20-FEB-2020
OSWALAGRO,EQ,6.5,6.85,6.25,6.75,6.5,6.6,28459,19-FEB-2020
OSWALAGRO,EQ,6.65,6.9,6.5,6.6,6.55,6.9,4893,18-FEB-2020
OSWALAGRO,EQ,7.15,7.15,6.35,6.9,6.65,6.95,17551,17-FEB-2020
OSWALAGRO,EQ,6.8,6.95,6.0,6.95,6.9,6.4,28245,14-FEB-2020
OSWALAGRO,EQ,6.8,7.05,6.1,6.4,6.75,6.8,25818,13-FEB-2020
OSWALAGRO,EQ,7.3,7.3,6.75,6.8,6.85,7.0,13240,12-FEB-2020
OSWALAGRO,EQ,7.0,7.3,6.9,7.0,7.0,7.05,15245,11-FEB-2020
OSWALAGRO,EQ,7.15,7.5,6.9,7.05,7.05,7.15,15364,10-FEB-2020
