SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PAISALO,EQ,167.7,182.05,165.1,179.05,181.0,173.4,3807,20-MAR-2020
PAISALO,EQ,167.9,176.0,159.35,173.4,175.0,167.7,7436,19-MAR-2020
PAISALO,EQ,153.2,168.75,152.75,167.7,168.75,160.75,3868,18-MAR-2020
PAISALO,EQ,161.2,164.95,159.8,160.75,159.8,168.2,6648,17-MAR-2020
PAISALO,EQ,177.05,177.05,168.2,168.2,168.2,177.05,1320,16-MAR-2020
PAISALO,EQ,175.1,193.5,175.1,177.05,175.1,184.3,18003,13-MAR-2020
PAISALO,EQ,191.8,191.8,184.3,184.3,184.3,194.0,2253,12-MAR-2020
PAISALO,EQ,203.0,204.05,193.65,194.0,193.7,203.8,27094,11-MAR-2020
PAISALO,EQ,204.0,205.0,203.8,203.8,203.8,214.5,11098,09-MAR-2020
PAISALO,EQ,215.0,222.25,214.5,214.5,214.5,225.75,32151,06-MAR-2020
PAISALO,EQ,227.0,227.0,224.0,225.75,226.0,225.5,140349,05-MAR-2020
PAISALO,EQ,225.0,231.8,223.1,225.5,228.0,229.85,8800,04-MAR-2020
PAISALO,EQ,233.15,236.5,226.2,229.85,229.5,231.85,3596,03-MAR-2020
PAISALO,EQ,239.8,244.8,225.15,231.85,225.5,236.95,3385,02-MAR-2020
PAISALO,EQ,233.5,246.9,233.5,236.95,234.0,245.5,3378,28-FEB-2020
PAISALO,EQ,244.95,255.0,237.0,245.5,244.0,249.45,18684,27-FEB-2020
PAISALO,EQ,260.15,260.15,249.45,249.45,249.45,262.55,3818,26-FEB-2020
PAISALO,EQ,271.0,271.0,258.5,262.55,264.0,270.75,5267,25-FEB-2020
PAISALO,EQ,271.0,278.0,258.15,270.75,271.0,270.85,7790,24-FEB-2020
PAISALO,EQ,264.1,273.0,262.0,270.85,270.0,266.15,2302,20-FEB-2020
PAISALO,EQ,271.1,275.0,265.0,266.15,265.0,269.85,630,19-FEB-2020
PAISALO,EQ,271.0,273.0,262.1,269.85,270.4,272.85,4008,18-FEB-2020
PAISALO,EQ,275.15,275.25,261.3,272.85,271.0,275.0,12804,17-FEB-2020
PAISALO,EQ,282.0,284.1,257.1,275.0,280.0,270.6,32584,14-FEB-2020
PAISALO,EQ,270.6,270.6,270.0,270.6,270.6,257.75,20047,13-FEB-2020
PAISALO,EQ,248.0,257.75,248.0,257.75,257.75,245.5,3034,12-FEB-2020
PAISALO,EQ,233.05,245.5,233.05,245.5,245.5,233.85,14206,11-FEB-2020
PAISALO,EQ,228.3,234.85,224.15,233.85,234.6,228.1,5780,10-FEB-2020
