SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PALREDTEC,EQ,9.65,10.65,9.65,10.0,10.0,10.15,554,20-MAR-2020
PALREDTEC,EQ,10.15,10.15,10.15,10.15,10.15,10.65,1686,19-MAR-2020
PALREDTEC,EQ,10.7,10.7,10.65,10.65,10.65,11.2,1048,18-MAR-2020
PALREDTEC,EQ,11.2,12.15,11.2,11.2,11.2,11.75,749,17-MAR-2020
PALREDTEC,EQ,11.8,11.8,11.75,11.75,11.75,12.35,1736,16-MAR-2020
PALREDTEC,EQ,12.35,12.35,12.35,12.35,12.35,12.95,6371,13-MAR-2020
PALREDTEC,EQ,13.9,13.9,12.95,12.95,12.95,13.6,1594,12-MAR-2020
PALREDTEC,EQ,14.2,14.2,12.95,13.6,13.5,13.55,1028,11-MAR-2020
PALREDTEC,EQ,13.25,14.15,12.85,13.55,13.55,13.5,2364,09-MAR-2020
PALREDTEC,EQ,13.25,13.85,13.2,13.5,13.5,13.85,1563,06-MAR-2020
PALREDTEC,EQ,14.2,14.7,13.65,13.85,13.85,14.3,612,05-MAR-2020
PALREDTEC,EQ,14.3,14.3,14.3,14.3,14.3,14.95,80,04-MAR-2020
PALREDTEC,EQ,14.2,15.0,14.2,14.95,15.0,14.35,541,03-MAR-2020
PALREDTEC,EQ,15.6,15.6,14.25,14.35,14.35,14.9,1437,02-MAR-2020
PALREDTEC,EQ,14.8,14.9,14.4,14.9,14.9,14.9,2200,28-FEB-2020
PALREDTEC,EQ,14.85,14.9,14.85,14.9,14.9,15.1,793,27-FEB-2020
PALREDTEC,EQ,15.5,16.25,14.95,15.1,15.1,15.5,400,26-FEB-2020
PALREDTEC,EQ,15.3,16.5,15.3,15.5,15.5,15.75,1614,25-FEB-2020
PALREDTEC,EQ,15.9,16.95,15.75,15.75,15.75,16.55,783,24-FEB-2020
PALREDTEC,EQ,16.55,17.4,16.1,16.55,17.2,16.7,832,20-FEB-2020
PALREDTEC,EQ,16.5,17.8,16.5,16.7,16.7,17.2,707,19-FEB-2020
PALREDTEC,EQ,17.3,17.3,17.2,17.2,17.2,18.1,6743,18-FEB-2020
PALREDTEC,EQ,18.2,18.9,18.1,18.1,18.1,19.05,6772,17-FEB-2020
PALREDTEC,EQ,19.05,19.05,18.15,19.05,19.0,18.15,3747,14-FEB-2020
PALREDTEC,EQ,16.55,18.15,16.55,18.15,18.15,17.3,2511,13-FEB-2020
PALREDTEC,EQ,16.1,17.3,15.8,17.3,17.3,16.5,1863,12-FEB-2020
PALREDTEC,EQ,17.1,17.1,16.5,16.5,16.55,17.1,1703,11-FEB-2020
PALREDTEC,EQ,17.5,17.85,16.75,17.1,17.05,17.0,3984,10-FEB-2020
