SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PANACHE,EQ,49.85,49.85,46.55,46.55,46.55,49.0,4955,20-MAR-2020
PANACHE,EQ,49.95,49.95,49.0,49.0,49.0,49.95,5508,19-MAR-2020
PANACHE,EQ,49.9,49.95,47.5,49.95,49.95,50.0,51,17-MAR-2020
PANACHE,EQ,50.0,50.0,50.0,50.0,50.0,50.9,50,16-MAR-2020
PANACHE,EQ,48.5,50.9,48.5,50.9,50.9,48.5,30,13-MAR-2020
PANACHE,EQ,49.3,49.3,48.5,48.5,48.5,49.5,40,12-MAR-2020
PANACHE,EQ,44.9,49.6,44.9,49.5,49.5,47.25,311,11-MAR-2020
PANACHE,EQ,44.0,47.3,42.95,47.25,47.25,45.05,845,09-MAR-2020
PANACHE,EQ,49.0,49.0,45.0,45.05,48.9,46.7,1476,06-MAR-2020
PANACHE,EQ,51.1,51.1,46.35,46.7,46.35,48.75,9164,05-MAR-2020
PANACHE,EQ,47.0,51.4,47.0,48.75,47.55,49.0,4364,04-MAR-2020
PANACHE,EQ,51.2,51.2,48.95,49.0,49.0,48.85,307,03-MAR-2020
PANACHE,EQ,49.85,49.85,48.8,48.85,48.8,47.5,6602,02-MAR-2020
PANACHE,EQ,49.0,49.1,47.3,47.5,48.9,49.75,7107,28-FEB-2020
PANACHE,EQ,49.1,50.95,48.9,49.75,50.65,49.6,26127,27-FEB-2020
PANACHE,EQ,51.5,52.25,49.6,49.6,49.6,49.85,15208,26-FEB-2020
PANACHE,EQ,51.75,51.9,49.85,49.85,49.85,50.0,4058,25-FEB-2020
PANACHE,EQ,51.0,52.2,49.85,50.0,50.0,49.75,15350,24-FEB-2020
PANACHE,EQ,49.0,50.0,48.5,49.75,49.75,49.25,15680,20-FEB-2020
PANACHE,EQ,52.0,52.15,48.6,49.25,48.75,50.65,7636,19-FEB-2020
PANACHE,EQ,53.0,54.5,50.25,50.65,50.25,52.0,3243,18-FEB-2020
PANACHE,EQ,53.0,53.15,52.0,52.0,52.0,52.0,3752,17-FEB-2020
PANACHE,EQ,55.9,55.9,52.0,52.0,52.0,53.85,4525,14-FEB-2020
PANACHE,EQ,55.0,57.0,50.05,53.85,53.5,54.45,9929,13-FEB-2020
PANACHE,EQ,62.75,62.75,53.65,54.45,54.0,58.0,6106,12-FEB-2020
PANACHE,EQ,60.0,63.4,57.15,58.0,58.0,60.1,7972,11-FEB-2020
PANACHE,EQ,67.05,67.05,60.0,60.1,60.0,62.1,19505,10-FEB-2020
