SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PANAMAPET,EQ,30.6,35.8,30.15,33.65,35.8,31.25,80267,20-MAR-2020
PANAMAPET,EQ,33.4,33.55,29.0,31.25,31.0,33.15,87580,19-MAR-2020
PANAMAPET,EQ,37.35,39.9,32.5,33.15,34.0,38.05,64365,18-MAR-2020
PANAMAPET,EQ,40.0,40.25,36.55,38.05,37.0,40.0,56601,17-MAR-2020
PANAMAPET,EQ,45.0,45.0,37.95,40.0,40.8,45.7,53746,16-MAR-2020
PANAMAPET,EQ,35.1,46.95,31.6,45.7,43.1,39.15,50341,13-MAR-2020
PANAMAPET,EQ,41.0,41.95,37.5,39.15,41.5,41.9,43679,12-MAR-2020
PANAMAPET,EQ,45.45,46.0,40.05,41.9,41.6,44.0,50590,11-MAR-2020
PANAMAPET,EQ,44.8,45.15,43.05,44.0,44.0,45.2,20622,09-MAR-2020
PANAMAPET,EQ,42.85,47.0,40.8,45.2,47.0,47.05,28635,06-MAR-2020
PANAMAPET,EQ,49.5,50.05,45.7,47.05,47.65,49.75,54292,05-MAR-2020
PANAMAPET,EQ,52.7,53.7,47.4,49.75,50.5,52.7,120221,04-MAR-2020
PANAMAPET,EQ,56.25,57.9,51.6,52.7,54.0,55.8,56375,03-MAR-2020
PANAMAPET,EQ,54.55,57.4,54.55,55.8,55.8,56.15,7905,02-MAR-2020
PANAMAPET,EQ,54.0,57.4,51.6,56.15,57.0,55.1,48108,28-FEB-2020
PANAMAPET,EQ,55.4,56.6,53.6,55.1,55.5,55.35,13691,27-FEB-2020
PANAMAPET,EQ,56.15,57.6,55.0,55.35,55.0,55.65,13082,26-FEB-2020
PANAMAPET,EQ,57.4,57.4,55.5,55.65,56.0,57.85,6998,25-FEB-2020
PANAMAPET,EQ,58.0,59.0,55.7,57.85,59.0,58.4,9113,24-FEB-2020
PANAMAPET,EQ,59.4,60.4,55.5,58.4,57.7,57.35,24514,20-FEB-2020
PANAMAPET,EQ,55.15,58.8,53.7,57.35,57.0,54.25,8183,19-FEB-2020
PANAMAPET,EQ,56.4,57.0,52.65,54.25,54.9,56.55,19251,18-FEB-2020
PANAMAPET,EQ,56.7,57.95,55.2,56.55,56.5,56.4,10444,17-FEB-2020
PANAMAPET,EQ,57.75,57.75,55.2,56.4,56.65,56.25,10527,14-FEB-2020
PANAMAPET,EQ,56.5,57.5,55.5,56.25,56.3,56.75,5443,13-FEB-2020
PANAMAPET,EQ,59.4,59.45,55.2,56.75,57.65,58.2,28684,12-FEB-2020
PANAMAPET,EQ,62.0,63.7,56.8,58.2,58.0,62.0,35769,11-FEB-2020
PANAMAPET,EQ,63.15,64.4,61.0,62.0,62.9,63.15,6248,10-FEB-2020
