SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TIMESTAMP
PARAGMILK,EQ,55.15,63.2,55.0,58.5,58.5,54.85,714004,20-MAR-2020
PARAGMILK,EQ,51.05,60.75,48.5,54.85,53.95,56.35,608275,19-MAR-2020
PARAGMILK,EQ,60.8,63.1,55.0,56.35,57.1,60.3,267866,18-MAR-2020
PARAGMILK,EQ,62.1,63.6,59.8,60.3,60.3,60.85,259568,17-MAR-2020
PARAGMILK,EQ,61.9,66.0,58.1,60.85,61.55,64.95,320476,16-MAR-2020
PARAGMILK,EQ,55.0,69.85,50.6,64.95,65.25,63.25,675054,13-MAR-2020
PARAGMILK,EQ,68.0,68.9,62.0,63.25,63.65,73.6,606945,12-MAR-2020
PARAGMILK,EQ,73.9,75.4,71.5,73.6,73.15,71.4,529165,11-MAR-2020
PARAGMILK,EQ,72.9,75.0,69.0,71.4,72.3,77.6,702151,09-MAR-2020
PARAGMILK,EQ,70.0,78.8,62.4,77.6,77.8,73.6,865424,06-MAR-2020
PARAGMILK,EQ,74.2,75.9,71.0,73.6,73.9,73.9,400875,05-MAR-2020
PARAGMILK,EQ,79.75,80.8,73.35,73.9,73.95,79.75,437206,04-MAR-2020
PARAGMILK,EQ,80.05,82.4,78.5,79.75,79.7,77.15,548177,03-MAR-2020
PARAGMILK,EQ,82.2,85.25,72.0,77.15,74.9,80.6,421749,02-MAR-2020
PARAGMILK,EQ,87.0,87.75,80.1,80.6,80.75,90.7,746805,28-FEB-2020
PARAGMILK,EQ,94.6,94.6,90.0,90.7,90.1,94.8,489422,27-FEB-2020
PARAGMILK,EQ,94.6,96.35,91.0,94.8,94.8,95.2,718938,26-FEB-2020
PARAGMILK,EQ,98.6,100.45,94.3,95.2,95.0,99.1,596911,25-FEB-2020
PARAGMILK,EQ,102.4,102.45,98.5,99.1,99.0,103.95,464805,24-FEB-2020
PARAGMILK,EQ,113.8,114.4,102.95,103.95,103.25,108.7,2523393,20-FEB-2020
PARAGMILK,EQ,101.15,110.0,100.35,108.7,109.5,101.2,1097823,19-FEB-2020
PARAGMILK,EQ,102.5,103.5,98.0,101.2,100.3,102.15,370705,18-FEB-2020
PARAGMILK,EQ,104.25,108.6,101.15,102.15,101.7,102.7,505726,17-FEB-2020
PARAGMILK,EQ,105.8,110.0,101.5,102.7,102.5,105.5,641480,14-FEB-2020
PARAGMILK,EQ,102.1,108.4,100.05,105.5,105.3,103.45,1067832,13-FEB-2020
PARAGMILK,EQ,102.0,112.45,87.7,103.45,104.6,100.15,7898121,12-FEB-2020
PARAGMILK,EQ,121.5,121.95,98.0,100.15,100.85,120.3,2701198,11-FEB-2020
PARAGMILK,EQ,124.0,125.4,120.0,120.3,120.55,124.65,173211,10-FEB-2020
